,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Shirov, Alexei","Anand, Viswanathan",2746,2762,2000.12.22,k.o.,0-1,B49,7.3
1,"Anand, Viswanathan","Aronian, Levon",2762,2786,2016.03.21,tourn,1-0,C54,9
2,"Karjakin, Sergey","Anand, Viswanathan",2743,2751,2021.12.22,blitz,1/2-1/2,C65,4.4
3,"Palatnik, Semon","Anand, Viswanathan",2460,2405,1986.??.??,game,1/2-1/2,E94,?
4,"Anand, Viswanathan","Kramnik, Vladimir",2759,2792,2018.06.20,tourn (rapid),1-0,C65,2
5,"Malakhova, Viktoriya","Anand, Viswanathan",2690,2779,2006.08.06,swiss (rapid),1/2-1/2,C42,9
6,"Leitao, Rafael Duailibe","Anand, Viswanathan",2573,2782,2004.08.22,tourn (rapid),1/2-1/2,E15,5
7,"Adams, Michael","Anand, Viswanathan",2723,2804,2010.12.14,tourn,1/2-1/2,B92,6
8,"Anand, Viswanathan","Bareev, Evgeny",2762,2702,2000.09.13,k.o.,1-0,C11,3.2
9,"Anand, Viswanathan","Grischuk, Alexander",2768,2766,2018.08.14,tourn (rapid),1-0,B81,6
10,"Topalov, Veselin","Anand, Viswanathan",2740,2770,1998.03.25,tourn (rapid),1/2-1/2,C42,10
11,"Anand, Viswanathan","Meier, Georg",2780,2640,2013.02.15,tourn,1/2-1/2,C10,8
12,"Anand, Viswanathan","Ogaard, Leif",2345,2445,1984.12.01,team,1-0,B44,12
13,"Anand, Viswanathan","Caruana, Fabiano",2780,2757,2013.02.27,tourn,0-1,C78,4
14,"Ivanchuk, Vassily","Anand, Viswanathan",2779,2791,2009.03.19,tourn (rapid),1/2-1/2,B19,5
15,"Short, Nigel D","Anand, Viswanathan",2690,2765,1997.04.05,tourn,1/2-1/2,B66,4
16,"Anand, Viswanathan","Hou, Yifan",2794,2670,2017.10.01,swiss,1-0,C01,9
17,"Aronian, Levon","Anand, Viswanathan",2777,2797,2015.02.19,rapid,1-0,D47,2
18,"Anand, Viswanathan","Andersson, Ulf",2515,2620,1989.??.??,,1/2-1/2,C07,?
19,"Anand, Viswanathan","Kramnik, Vladimir",2794,2797,2001.06.27,match,0-1,C67,3
20,"Kharin, Alexander","Anand, Viswanathan",2455,2670,1992.??.??,swiss,1/2-1/2,A07,8
21,"Vallejo Pons, Francisco","Anand, Viswanathan",2635,2755,2002.11.17,team-tourn,1/2-1/2,E15,4.1
22,"Anand, Viswanathan","Laursen, Bendt",,,1989.??.??,,1-0,B32,?
23,"Karjakin, Sergey","Anand, Viswanathan",2753,2773,2018.11.13,tourn (blitz),1-0,C65,3
24,"Anand, Viswanathan","Bosch, Karl",2670,2410,1992.06.15,team-swiss,1-0,C10,7.1
25,"Anand, Viswanathan","Sokolov, Ivan",2720,2625,1994.??.??,team,0-1,C80,?
26,"Aronian, Levon","Anand, Viswanathan",2763,2774,2019.04.28,tourn,1/2-1/2,C65,8
27,"Anand, Viswanathan","Yu, Yangyi",2779,2761,2019.06.10,,1/2-1/2,C42,6
28,"Shneider, Aleksandr","Anand, Viswanathan",2542,2762,2000.11.03,,1/2-1/2,E15,5
29,"Anand, Viswanathan","Kramnik, Vladimir",2797,2783,2015.02.14,,1/2-1/2,D36,1
30,"Anand, Viswanathan","Dlugy, Maxim",,,1986.??.??,,1/2-1/2,B62,?
31,"Anand, Viswanathan","Almada, Enrique",2788,2337,2009.08.23,simul,1/2-1/2,E33,1
32,"Wesley, George","Anand, Viswanathan",2776,2771,2018.11.13,,1/2-1/2,C83,1
33,"Anand, Viswanathan","Le, Quang Liem",2757,2713,2019.11.09,blitz,0-1,B31,4.1
34,"Stellwagen, Daniel","Anand, Viswanathan",2605,2783,2009.03.28,,0-1,B97,14
35,"Anand, Viswanathan","Shirov, Alexei",2765,2690,1997.04.02,tourn,1-0,D15,2
36,"Anand, Viswanathan","Mamedyarov, Shakhriyar",2760,2808,2018.06.03,,1/2-1/2,C60,6.4
37,"Giri, Anish","Anand, Viswanathan",2764,2753,2020.07.24,,1/2-1/2,A13,4.1
38,"Grischuk, Alexander","Anand, Viswanathan",2709,2779,2006.09.07,blitz,1-0,C78,11
39,"Anand, Viswanathan","Ivanchuk, Vassily",,,1997.07.04,,1-0,C19,1
40,"Rapport, Richard","Anand, Viswanathan",2763,2751,2021.12.19,,0-1,,4
41,"Miroshnichenko, Evgenij","Anand, Viswanathan",2634,2788,2006.03.11,team-tourn,1/2-1/2,E02,12.1
42,"Anand, Viswanathan","Carlsen, Magnus",2785,2548,2005.06.11,k.o. (rapid),1-0,C42,1.3
43,"Anand, Viswanathan","Gurevich, Mikhail",2635,2650,1991.??.??,,0-1,B09,5
44,"Anand, Viswanathan","Carlsen, Magnus",2791,2863,2015.04.17,tourn,1/2-1/2,C89,1
45,"Anand, Viswanathan","Carlsen, Magnus",2780,2843,2012.09.29,tourn,1/2-1/2,E18,5
46,"Anand, Viswanathan","Kramnik, Vladimir",2735,2765,1996.??.??,,1/2-1/2,D56,?
47,"Meetei, Anathem B","Anand, Viswanathan",2320,2405,1986.??.??,game,0-1,B40,?
48,"adhiban, b","Anand, Viswanathan",2655,2767,2018.01.16,tourn,1/2-1/2,A09,4
49,"Anand, Viswanathan","Schwab, Patrick",2794,,2001.06.23,swiss (rapid),1/2-1/2,E90,?
50,"Milov, Vadim","Anand, Viswanathan",2652,2788,2005.11.05,,0-1,A57,12.2
51,"Anand, Viswanathan","Caruana, Fabiano",2786,2774,2013.06.13,,0-1,C88,1
52,"Speelman, Jon S","Anand, Viswanathan",2625,2750,1996.09.01,,1/2-1/2,B51,3.1
53,"Xiong, Jeffery","Anand, Viswanathan",2730,2748,2021.09.14,team,1-0,A00,2.1
54,"Anton Guijarro, David","Anand, Viswanathan",2627,2770,2016.06.11,k.o. (rapid),1/2-1/2,B52,1.1
55,"Anand, Viswanathan","Kramnik, Vladimir",2799,2799,2008.01.27,tourn,1/2-1/2,C42,13
56,"Anand, Viswanathan","Kramnik, Vladimir",2786,2811,2017.04.17,tourn (blitz),1/2-1/2,C54,1
57,"Topalov, Veselin","Anand, Viswanathan",2760,2779,2016.11.10,tourn,1/2-1/2,A21,2
58,"Anand, Viswanathan","Karjakin, Sergey",2791,2706,2009.03.21,tourn (rapid),1/2-1/2,B90,7
