,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Andreikin, Dmitry","Nakamura, Hikaru",2725,2736,2021.03.02,,1/2-1/2,A80,7
1,"Vokhidov, Shamsiddin","Andreikin, Dmitry",2521,2728,2021.09.28,,0-1,C65,5
2,"Predojevic, Borki","Andreikin, Dmitry",2654,2736,2016.05.08,swiss,0-1,B06,9
3,"Firouzja, Alireza","Andreikin, Dmitry",2723,2724,2019.12.30,blitz,1-0,C65,14.5
4,"Kobalia, Mikhail","Andreikin, Dmitry",2599,2712,2018.02.28,,1/2-1/2,C18,9
5,"Sarana, Alexey","Andreikin, Dmitry",2613,2710,2018.08.29,tourn,1/2-1/2,D22,5
6,"Leenaerts, Robin","Andreikin, Dmitry",2499,2503,2006.12.09,k.o. (blitz),0-1,C67,3.4
7,"Kolpakov, Nikolay","Andreikin, Dmitry",,,2000.??.??,swiss,0-1,A16,2
8,"Andreikin, Dmitry","Alekseenko, Kirill",2728,2693,2021.09.11,,1-0,D20,5.3
9,"Andreikin, Dmitry","Chernyshov, Konstantin",2503,2537,2006.09.10,,1/2-1/2,B08,8
10,"Andreikin, Dmitry","Artemiev, Vladislav",2725,2709,2021.03.03,blitz,1-0,D45,3
11,"Demidov, Alexandr","Andreikin, Dmitry",,2217,2001.??.??,,0-1,B21,?
12,"Svane, R.","Andreikin, Dmitry",2613,2726,2020.11.17,swiss,0-1,A05,10
13,"Andreikin, Dmitry","Djukic, Nikola",2726,2515,2020.05.12,,1-0,A04,8
14,"Andreikin, Dmitry","Zarubitski, Viachaslau",2728,2416,2021.09.14,,1-0,C48,5
15,"Ochirbat, Lkhagvajamts","Andreikin, Dmitry",2119,2726,2020.08.18,,0-1,E20,3
16,"Andreikin, Dmitry","Gokerkan, Cem Kaan",2724,2444,2021.11.30,,1-0,B23,11
17,"Vallejo Pons, Francisco","Andreikin, Dmitry",2684,2720,2015.10.14,blitz,0-1,B46,16.26
18,"Andreikin, Dmitry","Greenfeld, Alon",2705,2573,2011.09.29,,1-0,A45,5.4
