,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Taimanova, Madina","Aronian, Levon",,,1947.??.??,,1/2-1/2,D41
1,"Anand, Viswanathan","Aronian, Levon",2762,2786,2016.03.21,tourn,1-0,C54
2,"Christensen, Esben","Aronian, Levon",,,1998.01.20,,0-1,B72
3,"Aronian, Levon","Giri, Anish",2772,2776,2019.11.26,blitz,1/2-1/2,A29
4,"Grischuk, Alexander","Aronian, Levon",2784,2778,2020.06.07,,1/2-1/2,
5,"Qveliashvili, Tinatin","Aronian, Levon",,,1997.??.??,swiss,0-1,B24
6,"Aronian, Levon","Vachier Lagrave, Maxime",2758,2774,2019.09.23,,1/2-1/2,D91
7,"Aronian, Levon","Giri, Anish",2767,2782,2018.09.20,,1-0,A45
8,"Aronian, Levon","Harikrishna, Pentala",2805,2669,2011.07.23,team-tourn,1-0,D56
9,"Szabo, Zsolt","Aronian, Levon",2453,2581,2002.10.29,,1/2-1/2,C67
10,"Aronian, Levon","Amin, Bassem",2773,2686,2020.08.23,,1-0,
11,"Aronian, Levon","Anand, Viswanathan",2777,2797,2015.02.19,rapid,1-0,D47
12,"Nakamura, Hikaru","Aronian, Levon",2777,2767,2018.12.01,,1-0,C42
13,"Firouzja, Alireza","Aronian, Levon",2804,2772,2021.12.30,blitz,1-0,C53
14,"Aronian, Levon","Dubov, Daniil",2785,2711,2022.03.12,rapid,1/2-1/2,B40
15,"Deac, Bogdan Daniel","Aronian, Levon",2671,2765,2022.05.06,,1/2-1/2,
16,"Kovalev, Vitaly","Aronian, Levon",2623,2785,2022.03.19,rapid,1/2-1/2,C47
17,"Aronian, Levon","Vachier Lagrave, Maxime",2782,2751,2021.08.28,rapid,1-0,
18,"Shuvalova, Polina","Aronian, Levon",2504,2785,2022.03.05,rapid,0-1,D02
19,"Fressinet, Laurent","Aronian, Levon",2662,2805,2017.12.29,blitz,1/2-1/2,B08
20,"Aronian, Levon","Grischuk, Alexander",2784,2752,2016.04.06,match (blitz),1-0,B07
21,"Aronian, Levon","Nakamura, Hikaru",2778,2829,2020.12.29,,1-0,
22,"Aronian, Levon","Anand, Viswanathan",2763,2774,2019.04.28,tourn,1/2-1/2,C65
23,"Aronian, Levon","Erigaisi, Arjun",2785,2660,2022.03.12,rapid,1-0,B50
24,"Aronian, Levon","Morozevich, Alexander",2786,2750,2009.11.10,,1/2-1/2,D31
25,"Mamedyarov, Shakhriyar","Aronian, Levon",2808,2764,2018.06.24,tourn (rapid),0-1,D10
26,"Shirov, Alexei","Aronian, Levon",2730,2773,2009.09.08,tourn,0-1,C89
27,"Aronian, Levon","Fressinet, Laurent",2330,2135,1995.??.??,,0-1,D01
