,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Carlsen, Magnus","Fyllingen, Roy Harald",2346,2336,2003.07.07,,1/2-1/2,E15,3
1,"Carlsen, Magnus","Grandelius, Nils",2862,2663,2021.01.26,,1-0,B90,9
2,"Carlsen, Magnus","Guseinov, Gadir",2832,2645,2017.10.04,k.o. (blitz),0-1,B23,1.22
3,"Giri, Anish","Carlsen, Magnus",2782,2855,2016.06.19,tourn (blitz),1/2-1/2,C55,7
4,"Carlsen, Magnus","Caruana, Fabiano",2835,2832,2018.11.21,match (rapid),1/2-1/2,A29,9
5,"Carlsen, Magnus","Ding, Liren",2863,2791,2020.08.10,,1-0,D41,1.21
6,"Banas, Jan","Carlsen, Magnus",2361,2084,2001.09.24,,1-0,B38,2
7,"Carlsen, Magnus","Grischuk, Alexander",2840,2737,2016.12.30,swiss (blitz),1/2-1/2,B54,15.1
8,"Vachier Lagrave, Maxime","Carlsen, Magnus",2822,2886,2020.12.11,,1-0,,2.4
9,"Carlsen, Magnus","Nepomniachtchi, Ian",2250,2344,2002.11.21,,1/2-1/2,D02,8
10,"Bortnyk, Olexandr","Carlsen, Magnus",2598,2847,2021.06.23,k.o.,0-1,B22,2.9
11,"Carlsen, Magnus","Agrest, Evgenij",,,2004.05.09,,1-0,D15,9
12,"Svane, Rasmus","Carlsen, Magnus",2613,2863,2020.08.26,,0-1,A05,1.4
13,"Karjakin, Sergey","Carlsen, Magnus",2771,2881,2014.06.17,swiss (rapid),1/2-1/2,B78,6
14,"Carlsen, Magnus","Nepomniachtchi, Ian",2863,2784,2020.08.04,,1-0,A48,2.21
15,"Carlsen, Magnus","Vachier Lagrave, Maxime",2822,2791,2017.08.05,tourn,0-1,A34,4
16,"Carlsen, Magnus","Rapport, Richard",2865,2763,2022.01.21,,1-0,E04,6.1
17,"Carlsen, Magnus","Eljanov, Pavel",2733,2692,2008.01.13,,1-0,D91,2
18,"Carlsen, Magnus","Heim, Sverre",2315,2399,2003.06.01,,1/2-1/2,B31,5
19,"Carlsen, Magnus","Nakamura, Hikaru",2864,2784,2013.06.22,tourn,1-0,A13,8
20,"Topalov, Veselin","Carlsen, Magnus",2736,2867,2019.05.12,blitz,0-1,,22.1
21,"Nakamura, Hikaru","Carlsen, Magnus",2741,2870,2019.11.25,blitz,1/2-1/2,D30,3.3
22,"Carlsen, Magnus","Tang, Andrew",2862,2538,2021.02.22,,0-1,D37,7
23,"Carlsen, Magnus","Radjabov, Teimour",2710,2746,2007.08.02,,1-0,B07,9
24,"Carlsen, Magnus","Vachier Lagrave, Maxime",2832,2796,2017.07.02,tourn (blitz),1-0,A25,12
25,"Li, Kevin","Carlsen, Magnus",2536,2710,2007.08.11,,1/2-1/2,C56,8
26,"Vachier Lagrave, Maxime","Carlsen, Magnus",2779,2842,2018.08.18,,1/2-1/2,B30,1.1
27,"Akesson, Ralf","Carlsen, Magnus",2486,2570,2005.10.09,,1/2-1/2,A17,9
28,"Carlsen, Magnus","Vachier Lagrave, Maxime",2886,2822,2020.12.11,,0-1,,1.3
29,"Carlsen, Magnus","Yip, Carissa",2847,2430,2021.04.19,,1-0,C77,1.16
30,"Barendse, Ted","Carlsen, Magnus",2206,2484,2004.01.23,tourn,0-1,B79,11
31,"Azmaiparashvili, Zurab","Carlsen, Magnus",2658,2570,2005.11.28,k.o.,1-0,D97,1.2
32,"Carlsen, Magnus","Giri, Anish",2881,2752,2014.06.02,blitz,1-0,D97,2.4
33,"Schandorff, Lars","Carlsen, Magnus",2521,2625,2006.02.05,tourn (rapid),1/2-1/2,D38,5
34,"Carlsen, Magnus","Adams, Michael",2844,2744,2016.01.26,tourn,1-0,C54,9
35,"Carlsen, Magnus","Baramidze, David",2865,2594,2015.02.07,,1-0,C94,5
36,"Carlsen, Magnus","Lagno, Kateryna",2567,2472,2004.09.19,k.o.,0-1,C42,3.1
37,"Carlsen, Magnus","Beliavsky, Alexander G",2552,2667,2004.05.03,tourn,1/2-1/2,D17,4
38,"Carlsen, Magnus","Nakamura, Hikaru",2832,2785,2017.06.08,tourn,1/2-1/2,B90,3
39,"Carlsen, Magnus","Dubov, Daniil",2886,2722,2021.04.22,,1-0,,1.6
40,"Kramnik, Vladimir","Carlsen, Magnus",2784,2814,2011.01.28,game,0-1,E00,11
41,"Karjakin, Sergey","Carlsen, Magnus",2778,2843,2012.10.11,,1/2-1/2,C19,8
42,"Hillarp Persson, Tiger","Carlsen, Magnus",2513,2552,2004.05.02,,0-1,D70,3
43,"Anand, Viswanathan","Carlsen, Magnus",2753,2863,2020.07.22,,1/2-1/2,C64,2.2
44,"Koneru, Humpy","Carlsen, Magnus",2545,2698,2006.10.28,,1/2-1/2,D38,5
45,"Iturrizaga Bonelli, Eduardo","Carlsen, Magnus",2607,2847,2021.07.10,,1/2-1/2,,4.1
46,"Mamedov, Rauf","Carlsen, Magnus",2645,2876,2020.02.01,blitz,1-0,B01,3.10
47,"Tang, Andrew","Carlsen, Magnus",2538,2847,2021.06.23,k.o.,0-1,D31,3.4
48,"Carlsen, Magnus","Malakhov, Vladimir",2570,2670,2005.12.12,,1-0,D15,6.4
49,"Carlsen, Magnus","Svidler, Peter",2675,2742,2006.09.02,match (rapid),1/2-1/2,C77,1
50,"Carlsen, Magnus","So, Wesley",2847,2770,2021.06.30,rapid,1-0,,9.2
51,"Carlsen, Magnus","Anand, Viswanathan",2837,2782,2017.12.27,swiss (rapid),0-1,E53,9
52,"Mamedyarov, Shakhriyar","Carlsen, Magnus",2753,2864,2013.06.12,,1-0,D37,9
53,"Maghsoodloo, Parham","Carlsen, Magnus",2596,2887,2020.11.02,,0-1,,1.6
54,"Caruana, Fabiano","Carlsen, Magnus",2832,2835,2018.11.22,match (rapid),1/2-1/2,B33,10
55,"Carlsen, Magnus","Vachier Lagrave, Maxime",2863,2778,2020.04.24,,1-0,D10,4.3
56,"Ivanchuk, Vassily","Carlsen, Magnus",2765,2823,2011.10.11,,0-1,C65,2
57,"Carlsen, Magnus","Harikrishna, Pentala",2881,2726,2014.06.19,blitz,1-0,B51,5.1
58,"Svidler, Peter","Carlsen, Magnus",2768,2834,2018.01.19,tourn,1/2-1/2,A13,6
59,"Dubov, Daniil","Carlsen, Magnus",2702,2862,2020.12.29,,1/2-1/2,E10,1.14
60,"Carlsen, Magnus","Dannevig, Oystein",2552,2372,2004.07.03,,1-0,C66,1
61,"Carlsen, Magnus","Naiditsch, Arkadij",2877,2709,2014.08.09,team-swiss,0-1,E20,7.1
62,"Carlsen, Magnus","Cuenca Jimenez, Jose Fernando",2876,2514,2019.10.27,blitz,1-0,,29.1
63,"Carlsen, Magnus","Giri, Anish",2856,2772,2021.12.30,blitz,0-1,C65,15.1
64,"Saleh Salem, Ra","Carlsen, Magnus",2638,2837,2017.12.26,swiss (rapid),0-1,D58,4.1
65,"Carlsen, Magnus","Vachier Lagrave, Maxime",2855,2763,2021.09.27,,1-0,B23,3.1
66,"Carlsen, Magnus","Wang, Yue",2770,2738,2009.06.06,k.o. (rapid),1/2-1/2,D17,1.5
67,"Carlsen, Magnus","Vachier Lagrave, Maxime",2867,2792,2019.05.09,blitz,1-0,,5.1
68,"So, Wesley","Carlsen, Magnus",2760,2870,2019.11.22,rapid,1/2-1/2,B90,1.2
69,"Brynell, Stellan","Carlsen, Magnus",2496,2570,2005.10.03,,0-1,D47,3
70,"Carlsen, Magnus","Milos, Gilberto",2881,2583,2014.03.06,tourn (rapid),1/2-1/2,C45,2
71,"Carlsen, Magnus","Ivanchuk, Vassily",2733,2751,2008.03.15,tourn (rapid),0-1,C80,1
72,"Grischuk, Arina","Carlsen, Magnus",2754,2857,2016.08.23,match (blitz),1/2-1/2,D31,15
73,"Carlsen, Magnus","Henriquez Villagra, Cristobal",2840,2517,2016.12.26,rapid,1-0,B62,3.1
74,"Motylev, Alexander","Carlsen, Magnus",2638,2625,2006.01.27,tourn,1-0,B90,11
75,"Caruana, Fabiano","Carlsen, Magnus",2804,2855,2016.06.12,tourn (blitz),1-0,C54,11
76,"Carlsen, Magnus","Ghaem Maghami, Ehsan",2857,2566,2016.09.12,team-swiss,1-0,D02,10.1
77,"Dubov, Daniil","Carlsen, Magnus",2699,2863,2020.06.22,,0-1,D43,9.2
78,"Carlsen, Magnus","Dominguez Perez, Leinier",2863,2758,2020.09.18,blitz,1-0,D02,8.2
79,"Carlsen, Magnus","Dubov, Daniil",2881,2770,2021.02.10,rapid,1-0,,9.1
80,"Grischuk, Alexander","Carlsen, Magnus",2792,2881,2014.06.20,swiss (blitz),1/2-1/2,D37,15
81,"Carlsen, Magnus","Vidit, Santosh Gujrathi",2870,2722,2019.11.26,blitz,1/2-1/2,C44,10.3
82,"Carlsen, Magnus","Fedoseev, Vladimir",2847,2696,2021.08.05,,1-0,B12,8.2
83,"Carlsen, Magnus","Agdestein, Simen",2570,2582,2005.11.09,,1/2-1/2,B17,4
84,"Gorozhanin, Mikhail","Carlsen, Magnus",2419,2838,2017.03.15,,0-1,A47,3
