,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Caruana, Fabiano","Robson, Ray",2828,2667,2019.03.21,,1/2-1/2,C45,2.2
1,"Caruana, Fabiano","Rombaldoni, Axel",2709,2471,2010.11.28,tourn,1-0,B60,6
2,"Carlsen, Magnus","Caruana, Fabiano",2835,2832,2018.11.21,match (rapid),1/2-1/2,A29,9
3,"Le, Quang Liem","Caruana, Fabiano",2709,2835,2020.09.25,,1/2-1/2,C84,2.4
4,"Caruana, Fabiano","Di Nicolantonio, Lucas",2781,2405,2022.03.08,,1-0,D00,1
5,"Caruana, Fabiano","Lagno, Kateryna",,,2017.01.28,,1-0,C78,7.15
6,"Matlakov, Maxim","Caruana, Fabiano",2674,2792,2022.03.01,,0-1,C50,8
7,"Caruana, Fabiano","Rublevsky, Sergei",2716,2678,2011.04.19,team-tourn,1-0,B48,7
8,"Ding, Liren","Caruana, Fabiano",2791,2835,2020.04.21,,1/2-1/2,A06,2.1
9,"Ljubojevic, Ljubomir","Caruana, Fabiano",2572,2697,2010.08.22,schev,1/2-1/2,D18,10
10,"Caruana, Fabiano","Aronian, Levon",2816,2764,2018.06.14,blitz,0-1,C65,8
11,"Caruana, Fabiano","Svidler, Peter",2791,2753,2014.06.18,swiss (rapid),1-0,B46,11
12,"Caruana, Fabiano","Mamedyarov, Shakhriyar",2783,2760,2014.04.29,tourn,1-0,D11,9
13,"Caruana, Fabiano","Karjakin, Sergey",2808,2781,2017.06.24,tourn (rapid),1-0,A30,2
14,"Caruana, Fabiano","Salem, A.R. Saleh",2640,2476,2008.11.14,team-schev,0-1,D34,2.26
15,"Alfred, Nathan S W","Caruana, Fabiano",2250,2134,2003.02.10,tourn,1-0,D03,10
16,"Caruana, Fabiano","Giri, Anish",2819,2779,2019.07.31,blitz,1-0,,13.1
17,"Huerga Leache, Mikel","Caruana, Fabiano",2176,2381,2005.??.??,swiss,1/2-1/2,B33,?
18,"Lenderman, Aleksandr","Caruana, Fabiano",2598,2839,2014.12.07,swiss (rapid),1/2-1/2,B06,10
19,"Caruana, Fabiano","Amin, Bassem",2773,2608,2020.05.08,,1-0,,8.2
20,"Caruana, Fabiano","Vachier Lagrave, Maxime",2804,2921,2019.06.03,blitz,1-0,,4.4
21,"Sarana, Alexey","Caruana, Fabiano",2685,2792,2022.02.19,rapid,1/2-1/2,E49,6
22,"Caruana, Fabiano","Karjakin, Sergey",2791,2771,2014.06.17,swiss (rapid),1/2-1/2,A30,7
23,"Caruana, Fabiano","Lou, Yiping",2792,2485,2022.03.01,,1-0,C65,7
24,"McShane, Luke J","Caruana, Fabiano",2674,2796,2015.10.11,tourn (rapid),1-0,C00,3.1
25,"Caruana, Fabiano","Carlsen, Magnus",2832,2835,2018.11.22,match (rapid),1/2-1/2,B33,10
26,"Vachier Lagrave, Maxime","Caruana, Fabiano",2778,2835,2020.05.15,,0-1,A28,1.21
27,"Shirov, Alexei","Caruana, Fabiano",2709,2801,2014.08.10,,1/2-1/2,C67,8.1
28,"Caruana, Fabiano","Vachier Lagrave, Maxime",2816,2789,2018.06.16,blitz,0-1,A07,13
29,"Vachier Lagrave, Maxime","Caruana, Fabiano",2760,2820,2021.06.11,,1/2-1/2,,6.4
30,"Caruana, Fabiano","So, Wesley",2773,2741,2020.05.28,,1-0,,3.2
