,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Ding, Liren","Navara, David",2805,2734,2019.06.17,,1-0,A62
1,"Ivanchuk, Vassily","Ding, Liren",2728,2778,2016.07.12,tourn,1/2-1/2,A07
2,"Ding, Liren","Vachier Lagrave, Maxime",2791,2758,2021.04.20,,1/2-1/2,
3,"Ding, Liren","Giri, Anish",2773,2785,2017.05.20,,1/2-1/2,D02
4,"Kamsky, Gata","Ding, Liren",2762,2702,2012.12.16,blitz,1-0,A01
5,"Ding, Liren","Mansour, Sameer",2714,2257,2014.05.22,team-tourn,1-0,E62
6,"Ding, Liren","Mamedyarov, Shakhriyar",2799,2770,2021.05.25,,1/2-1/2,
7,"Safarli, Eltaj","Ding, Liren",2306,2231,2004.11.12,swiss,0-1,C11
8,"Ma, Qun","Ding, Liren",2481,2660,2012.04.30,blitz,1/2-1/2,B17
9,"Ding, Liren","Lodici, Lorenzo",2772,2407,2017.10.08,team-swiss,1/2-1/2,D35
10,"Ding, Liren","Santos Latasa, Jaime",2799,2608,2021.07.10,,1-0,
11,"Ding, Liren","Mamedyarov, Shakhriyar",2806,2759,2022.05.23,k.o.,1-0,D85
12,"Ding, Liren","Jumabayev, Rinat",2777,2612,2017.12.26,swiss (rapid),1-0,A28
13,"Carlsen, Magnus","Ding, Liren",2863,2791,2020.08.09,,1/2-1/2,A48
14,"Ding, Liren","Caruana, Fabiano",2791,2835,2020.04.21,,1-0,D73
15,"Kramnik, Vladimir","Ding, Liren",2753,2791,2020.07.25,,1/2-1/2,B90
16,"Ding, Liren","Lu, Shanglei",2749,2595,2015.07.10,tourn,1-0,D50
17,"Ding, Liren","Sengupta, Deep",2702,2548,2013.07.03,swiss,1-0,D20
18,"Ni, Hua","Ding, Liren",2680,2395,2008.03.28,team-tourn,1/2-1/2,C10
19,"Ding, Liren","Praggnanandhaa, Rameshbabu",2799,2619,2022.03.20,,0-1,A08
20,"Sasikiran, Krishnan","Ding, Liren",2640,2799,2021.10.15,team,0-1,B11
21,Venkatesan Rajendran,"Ding, Liren",2517,2679,2012.05.07,,0-1,B11
22,"Yu, Yangyi","Ding, Liren",2738,2805,2019.06.05,,1-0,E32
23,"Wang, Hao","Ding, Liren",2709,2777,2017.12.11,swiss (rapid),1/2-1/2,D47
24,"Ding, Liren","Wei, Yi",2786,2737,2019.05.08,blitz,0-1,
25,"Ding, Liren","Shankland, Sam",2811,2705,2019.09.02,,1/2-1/2,D16
26,"Ding, Liren","Yu, Yangyi",2791,2709,2020.05.27,,1/2-1/2,D20
27,"Ding, Liren","Di, Lei",2777,2420,2016.04.14,team-tourn,1-0,D45
28,"Al Ansi, Amin Hassan","Ding, Liren",,2714,2014.05.26,team-tourn,0-1,B40
29,"Vachier Lagrave, Maxime","Ding, Liren",2718,2530,2009.10.??,game,1-0,C07
30,"Wei, Yi","Ding, Liren",2732,2791,2020.12.03,,0-1,B12
31,"Ding, Liren","Wei, Yi",2707,2530,2013.05.21,tourn,1-0,A18
32,"Ding, Liren","Ma, Qun",2714,2609,2014.07.03,tourn,1/2-1/2,D12
33,"Zhou, Jianchao","Ding, Liren",2636,2664,2011.06.12,tourn (rapid),1-0,E36
34,"Giri, Anish","Ding, Liren",2776,2801,2019.11.25,blitz,1/2-1/2,C84
35,"Ding, Liren","Zhang, Pengxiang",2547,2603,2010.05.18,swiss (rapid),1/2-1/2,D46
36,"Ding, Liren","Giri, Anish",2773,2785,2017.05.20,,1/2-1/2,D02
37,"Gelfand, Boris","Ding, Liren",2747,2751,2015.04.25,,1/2-1/2,E92
38,"Topalov, Veselin","Ding, Liren",2747,2797,2018.08.11,match,0-1,E61
39,"Ding, Liren","Ivanchuk, Vassily",2777,2726,2017.12.11,swiss (rapid),1/2-1/2,D78
40,"Karjakin, Sergey","Ding, Liren",2750,2805,2019.08.18,,1/2-1/2,C89
41,"Ding, Liren","Liu, Qingnan",,,????.??.??,,1/2-1/2,
42,"Ding, Liren","Harikrishna, Pentala",2734,2687,2017.12.28,swiss (rapid),1/2-1/2,A28
43,"Ding, Liren","Mamedov, Rauf",2778,2704,2018.04.27,tourn,1-0,D34
44,"Ding, Liren","Vitiugov, Nikita",2530,2681,2009.08.17,schev,1-0,D45
45,"Tari, Aryan","Ding, Liren",2578,2772,2017.10.10,team-swiss,0-1,B92
46,"Ding, Liren","Sargissian, Gabriel",2766,2702,2016.02.26,swiss (rapid),1/2-1/2,D37
47,"Perez Ponsa, Federico","Ding, Liren",2585,2753,2016.09.08,,0-1,C81
48,"Kravtsiv, Martyn","Ding, Liren",2670,2771,2017.09.06,k.o.,1/2-1/2,C50
49,"Bu, Xiangzhi","Ding, Liren",2708,2799,2022.04.17,,1/2-1/2,
50,"Ding, Liren","Munkhgal, Gombosuren",2659,2348,2011.10.02,swiss,1-0,D38
51,"Pantsulaia, Levan","Ding, Liren",2654,2734,2017.12.27,rapid,*,
52,"Aronian, Levon","Ding, Liren",2802,2771,2017.09.25,,1/2-1/2,A13
53,"Ding, Liren","Barbosa, Oliver",2695,2554,2012.09.06,team-swiss,1-0,D31
54,"Ding, Liren","Harikrishna, Pentala",2742,2725,2014.08.19,team-tourn,1/2-1/2,E15
55,"Ding, Liren","Alonso Rosell, Alvar",2231,2112,2004.11.11,swiss,1-0,A26
56,"Ding, Liren","Ponomariov, Ruslan",2753,2709,2016.09.06,,1/2-1/2,D37
57,"Nakamura, Hikaru","Ding, Liren",2769,2791,2018.05.28,tourn,1/2-1/2,A18
58,"Santos Latasa, Jaime","Ding, Liren",2608,2799,2021.07.10,,0-1,
59,"Ding, Liren","Harikrishnan, M.",2799,2716,2022.03.19,,1-0,A08
60,"Barbosa, Oliver","Ding, Liren",2550,2679,2012.05.13,swiss,1/2-1/2,E60
61,"Ding, Liren","Rapport, Richard",,,2017.02.18,,0-1,
62,"Dubov, Daniil","Ding, Liren",2710,2799,2021.05.24,,1/2-1/2,
63,"Ding, Liren","Grischuk, Alexander",2777,2772,2017.12.13,tourn (blitz),0-1,E68
64,"Carlsen, Magnus","Ding, Liren",2882,2805,2019.08.29,,0-1,C84
65,"Ding, Liren","Adams, Michael",2766,2744,2016.01.16,,1-0,A20
66,"Toufighi, Homayoon","Ding, Liren",2491,2565,2010.04.25,,0-1,B22
67,"Nakamura, Hikaru","Ding, Liren",2743,2805,2019.08.20,,1/2-1/2,C88
68,"Ding, Liren","Bu, Xiangzhi",2547,2681,2010.05.20,,1-0,E10
