,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Dominguez Perez, Leinier","Svidler, Peter",2732,2727,2015.10.14,blitz,1/2-1/2,C88
1,"Dominguez Perez, Leinier","Bellon Lopez, Juan Manuel",2479,2447,1999.05.17,,1-0,B15
2,"Dominguez Perez, Leinier","Wojtaszek, Radoslaw",2739,2749,2016.12.29,swiss (blitz),0-1,B94
3,"Timofeev, Artyom","Dominguez Perez, Leinier",2664,2695,2008.05.30,,0-1,B92
4,"Dominguez Perez, Leinier","Kobese, Watu",2506,2389,1999.11.16,team,1-0,C97
5,"Dominguez Perez, Leinier","Arencibia Rodriguez, Walter",2556,2543,2001.05.16,tourn,1/2-1/2,B16
6,"Dominguez Perez, Leinier","Smerdon, David C",2719,2525,2009.11.23,k.o.,1-0,B73
7,"Dominguez Perez, Leinier","So, Wesley",2739,2788,2017.11.12,match (blitz),1/2-1/2,B12
8,"Gonzalez Vidal, Yuri","Dominguez Perez, Leinier",2420,2505,2000.??.??,tourn,0-1,B92
9,"Dominguez Perez, Leinier","Tung, Siu Hung",2712,1922,2011.12.29,k.o.,1-0,A20
10,"Kosteniuk, Alexandra","Dominguez Perez, Leinier",2516,2756,2022.03.12,rapid,0-1,C54
11,"Mamedov, Rauf","Dominguez Perez, Leinier",2730,2743,2019.05.17,blitz,0-1,
12,"Dominguez Perez, Leinier","Delgado Ramirez, Neuris",2658,2567,2005.05.17,tourn,1/2-1/2,B66
13,"Rakhmanov, Aleksandr","Dominguez Perez, Leinier",2620,2736,2015.08.18,,1/2-1/2,
14,"Vera Gonzalez Quevedo, Reynaldo","Dominguez Perez, Leinier",2546,2508,2000.05.20,tourn,1-0,D47
15,"Dominguez Perez, Leinier","Harikrishnan, M.",2758,2719,2020.03.10,,1-0,C88
16,"Dominguez Perez, Leinier","Caruana, Fabiano",2719,2652,2009.11.26,k.o.,0-1,C78
17,"Dominguez Perez, Leinier","Morozevich, Alexander",2719,2750,2009.11.16,tourn (blitz),0-1,B81
18,"Mchedlishvili, Mikheil","Dominguez Perez, Leinier",2639,2726,2012.11.06,team-tourn,0-1,B13
19,"Charbonneau, Pascal","Dominguez Perez, Leinier",2339,2506,1999.11.05,,1/2-1/2,B22
20,"Aronian, Levon","Dominguez Perez, Leinier",2803,2754,2013.12.14,rapid,1-0,A30
21,"Dominguez Perez, Leinier","Vidit, Santosh Gujrathi",2786,2636,2021.04.26,,1/2-1/2,
22,"Amin, Bassem","Dominguez Perez, Leinier",2661,2720,2016.09.03,team-swiss,0-1,C00
23,"Dominguez Perez, Leinier","Jakovenko, Dmitry",2734,2738,2015.05.15,,1-0,E01
24,"Harsha, B.","Dominguez Perez, Leinier",2509,2758,2020.05.02,blitz,1-0,D41
25,"Dominguez Perez, Leinier","Aronian, Levon",2729,2770,2015.04.21,team-tourn,1/2-1/2,C67
26,"Dominguez Perez, Leinier","Topalov, Veselin",2723,2793,2013.06.03,tourn,1-0,B48
27,"Vera Gonzalez Quevedo, Reynaldo","Dominguez Perez, Leinier",2546,2603,2003.05.10,tourn,1/2-1/2,D47
28,"Dominguez Perez, Leinier","Mamedyarov, Shakhriyar",2726,2759,2015.02.26,,1/2-1/2,B90
29,"Dominguez Perez, Leinier","Bruzon Batista, Lazaro",2746,2677,2015.06.15,swiss,1/2-1/2,C65
30,"Dominguez Perez, Leinier","Yu, Yangyi",2763,2752,2019.08.12,rapid,0-1,B60
31,"Dominguez Perez, Leinier","Vachier Lagrave, Maxime",2726,2758,2014.12.11,swiss (rapid),1/2-1/2,B90
32,"Nogueiras Santiago, Jesus","Dominguez Perez, Leinier",2549,2683,2007.12.19,,1-0,A36
33,"Gashimov, Vugar","Dominguez Perez, Leinier",2740,2713,2010.03.13,,1/2-1/2,C54
34,"Dominguez Perez, Leinier","Quang Liem, Le",2739,2739,2017.08.15,rapid,1-0,C65
35,"Ivanchuk, Vassily","Dominguez Perez, Leinier",2710,2732,2016.02.26,swiss (rapid),0-1,C54
36,"Tkachiev, Vladislav","Dominguez Perez, Leinier",,,????.??.??,,1-0,
37,"Dominguez Perez, Leinier","De La Paz Perdomo, Frank",2556,2437,2001.04.14,tourn,1/2-1/2,C65
38,"Dominguez Perez, Leinier","Jakovenko, Dmitry",2678,2708,2007.06.26,tourn,1/2-1/2,B33
39,"Nogueiras Santiago, Jesus","Dominguez Perez, Leinier",2556,2647,2006.04.04,k.o.,1/2-1/2,A33
40,"Dominguez Perez, Leinier","Balakrishnan, Praveen",2739,2465,2017.02.22,,1-0,B12
41,"Smerdon, David C","Dominguez Perez, Leinier",2525,2719,2009.11.22,k.o.,1/2-1/2,B22
42,"Dominguez Perez, Leinier","Aronian, Levon",2739,2799,2017.08.17,tourn (blitz),0-1,C88
43,"Dominguez Perez, Leinier","Kallio, Heikki",2585,2360,1998.10.29,,1-0,B84
44,"Dominguez Perez, Leinier","Bruzon Batista, Lazaro",2658,2669,2005.04.25,k.o.,1/2-1/2,C83
45,"Dominguez Perez, Leinier","Dias, Paulo",2760,2416,2014.08.03,,1-0,C67
46,"Bruzon Batista, Lazaro","Dominguez Perez, Leinier",2673,2719,2011.08.11,team-schev,1/2-1/2,C92
47,"Dominguez Perez, Leinier","Topalov, Veselin",2753,2771,2013.10.26,team-swiss,1/2-1/2,C77
48,"Dominguez Perez, Leinier","Carlsen, Magnus",2758,2863,2020.09.19,blitz,1/2-1/2,C60
49,"Dominguez Perez, Leinier","Gonzalez Parra, Harold Manuel",2534,2428,2000.??.??,tourn,1/2-1/2,B38
50,"Dominguez Perez, Leinier","Svidler, Peter",2596,2686,2001.10.18,,1/2-1/2,C92
51,"Dominguez Perez, Leinier","Leko, Peter",2726,2723,2014.12.13,tourn (blitz),1/2-1/2,C67
52,"Iturrizaga Bonelli, Eduardo","Dominguez Perez, Leinier",2627,2725,2012.09.01,team-swiss,0-1,E81
53,"Slipak, Sergio","Dominguez Perez, Leinier",2497,2610,2003.08.22,swiss,0-1,D23
54,"Adams, Michael","Dominguez Perez, Leinier",2742,2732,2015.09.19,k.o.,1/2-1/2,C67
55,"Dominguez Perez, Leinier","Santa Torres, Juan M",2585,2230,2001.08.10,swiss,1-0,B81
56,"Hausrath, Daniel","Dominguez Perez, Leinier",2537,2755,2014.09.18,tourn,0-1,A37
57,"Dominguez Perez, Leinier","Kasimdzhanov, Rustam",2719,2672,2008.11.14,team-swiss,1/2-1/2,B78
58,"Dominguez Perez, Leinier","Meier, Georg",2739,2628,2018.06.26,k.o. (blitz),0-1,C11
59,"Naroditsky, Daniel","Dominguez Perez, Leinier",2623,2758,2021.08.30,rapid,0-1,
60,"Dominguez Perez, Leinier","Giri, Anish",2758,2769,2019.12.26,rapid,1-0,B90
61,"Dominguez Perez, Leinier","Movsesian, Sergei",2732,2653,2016.02.29,tourn (blitz),1-0,D15
62,"Dominguez Perez, Leinier","Gasimov, Ilgar",,,????.??.??,,0-1,
63,"Le, Quang Liem","Dominguez Perez, Leinier",2709,2758,2021.08.14,blitz,1-0,
64,"Wojtaszek, Radoslaw","Dominguez Perez, Leinier",2744,2726,2014.12.16,swiss,1/2-1/2,E92
65,"Wang, Hao","Dominguez Perez, Leinier",2726,2763,2019.09.18,,1-0,A28
66,"Dominguez Perez, Leinier","Quesada Perez, Yuniesky",2758,2601,2020.01.20,,0-1,C53
67,"Dominguez Perez, Leinier","Sadhwani, Raunak",2758,2545,2020.09.27,,1/2-1/2,C67
68,"Teran Alvarez, Ismael","Dominguez Perez, Leinier",2375,2215,1998.??.??,,0-1,B20
69,"Dominguez Perez, Leinier","Caruana, Fabiano",2763,2818,2019.08.13,blitz,1/2-1/2,C88
70,"Frois, Antonio","Dominguez Perez, Leinier",2346,2534,2000.11.25,swiss,0-1,A11
71,"Dominguez Perez, Leinier","Bruzon Batista, Lazaro",2768,2682,2014.05.12,tourn,1/2-1/2,C92
72,"Ravelo Gil, Eddy","Dominguez Perez, Leinier",2330,2475,1999.??.??,tourn,0-1,A65
73,"Dominguez Perez, Leinier","Mamedyarov, Shakhriyar",2758,2782,2021.08.12,blitz,0-1,
74,"Dominguez Perez, Leinier","Svidler, Peter",2719,2727,2008.11.08,tourn (blitz),1/2-1/2,C54
75,"Bykhovsky, Anatoly","Dominguez Perez, Leinier",2496,2758,2020.11.17,swiss,1-0,D38
76,"Topalov, Veselin","Dominguez Perez, Leinier",2740,2739,2019.02.20,match (rapid),1/2-1/2,C54
77,"Mamedyarov, Shakhriyar","Dominguez Perez, Leinier",2757,2754,2013.12.14,tourn (blitz),1-0,D20
78,"Vallejos, Carlos","Dominguez Perez, Leinier",,2534,2000.??.??,tourn,0-1,D11
79,"Mekhitarian, Krikor Sevag","Dominguez Perez, Leinier",2563,2758,2020.02.17,,1/2-1/2,A13
80,"Vasquez Schroder, Rodrigo Rafael","Dominguez Perez, Leinier",2514,2610,2003.08.28,swiss,1/2-1/2,D47
81,"Xiong, Jeffery","Dominguez Perez, Leinier",2710,2758,2021.08.15,blitz,1/2-1/2,
82,"Dominguez Perez, Leinier","Ivanchuk, Vassily",2726,2704,2014.12.13,tourn (blitz),1/2-1/2,C05
83,"Rapport, Richard","Dominguez Perez, Leinier",2776,2753,2022.05.09,,1/2-1/2,
84,"Gaprindashvili, Valeriane","Dominguez Perez, Leinier",2482,2565,2001.01.16,swiss,0-1,D12
85,"Szeberenyi, Adam","Dominguez Perez, Leinier",2287,,1999.??.??,swiss,0-1,E97
86,"Moiseenko, Vadim","Dominguez Perez, Leinier",2526,2758,2019.12.30,blitz,0-1,B90
87,"Dominguez Perez, Leinier","Mieles Palau, Daniel",2607,2468,2003.10.21,tourn,1-0,E01
88,"Gamboa, Nelson","Dominguez Perez, Leinier",2411,2479,1999.05.26,,1-0,B23
89,"Dominguez Perez, Leinier","Suvorov, Alexander",2758,2353,2020.12.01,,1-0,B48
90,"Dominguez Perez, Leinier","Maghsoodloo, Parham",2758,2676,2020.07.11,k.o. (rapid),0-1,A88
91,"Dominguez Perez, Leinier","Ponomariov, Ruslan",2726,2741,2012.11.09,,1-0,C67
92,"Dominguez Perez, Leinier","Quesada Perez, Yuniesky",2677,2515,2007.01.24,k.o.,1-0,B46
93,"Ivanchuk, Vassily","Dominguez Perez, Leinier",2686,2786,2020.11.18,tourn,0-1,
94,"Dominguez Perez, Leinier","Fressinet, Laurent",2757,2708,2013.10.02,tourn,1/2-1/2,C67
95,"Karjakin, Sergey","Dominguez Perez, Leinier",2773,2739,2017.08.17,tourn (blitz),1-0,D00
96,"Dominguez Perez, Leinier","Kamsky, Gata",2726,2762,2012.12.04,,1-0,C88
97,"Dominguez Perez, Leinier","Kamsky, Gata",2712,2732,2011.12.14,swiss (rapid),1-0,B06
98,"Dominguez Perez, Leinier","Nakamura, Hikaru",2723,2775,2013.05.28,tourn,1/2-1/2,B01
99,"Ghaem Maghami, Ehsan","Dominguez Perez, Leinier",2594,2716,2010.09.29,,1/2-1/2,
100,"Bu, Xiangzhi","Dominguez Perez, Leinier",2729,2750,2019.05.18,blitz,1-0,D41
101,"Rohl Montes, Juan Armando","Dominguez Perez, Leinier",2350,2534,2000.??.??,tourn,0-1,B22
102,"Dominguez Perez, Leinier","De La Paz Perdomo, Frank",2215,2325,1998.??.??,tourn,0-1,C88
103,"Dominguez Perez, Leinier","Peng, Xiaomin",2534,2657,2000.11.05,team-swiss,0-1,C93
104,"Dominguez Perez, Leinier","Meier, Georg",2739,2628,2018.06.26,k.o. (blitz),1-0,C11
105,"Ricardi, Pablo","Dominguez Perez, Leinier",2544,2608,2002.10.31,,1/2-1/2,A00
106,"Tvarijonas, Tomas","Dominguez Perez, Leinier",2221,2758,2020.11.03,swiss,0-1,B90
107,"Dominguez Perez, Leinier","Shubin, Kirill",2750,2404,2019.05.09,,1-0,
108,"Dominguez Perez, Leinier","Amura, Claudia Noemi",2639,2372,2005.08.09,swiss,1-0,B75
109,"Dominguez Perez, Leinier","Lysyj, Igor",2719,2629,2011.09.03,k.o.,1-0,C67
110,"Dominguez Perez, Leinier","Artemiev, Victor",2758,2716,2020.04.12,,1/2-1/2,D04
111,"Dominguez Perez, Leinier","Harikrishna, Pentala",2661,2632,2005.02.03,tourn,1/2-1/2,C91
112,"Dominguez Perez, Leinier","Wang, Yue",2717,2738,2009.05.19,tourn,1/2-1/2,C42
113,"Dominguez Perez, Leinier","Jakovenko, Dmitry",2506,2443,1999.11.04,,0-1,B46
114,"Grischuk, Alexander","Dominguez Perez, Leinier",2810,2726,2015.02.25,tourn,1/2-1/2,C92
115,"Harikrishna, Pentala","Dominguez Perez, Leinier",2646,2658,2005.04.09,,1/2-1/2,A12
116,"Perez Rodriguez, Luis Manuel","Dominguez Perez, Leinier",2402,2479,1999.05.20,,1/2-1/2,A29
117,"Abdusattorov, Nodirbek","Dominguez Perez, Leinier",2608,2763,2020.03.24,blitz,1-0,B90
118,"Bruzon Batista, Lazaro","Dominguez Perez, Leinier",2699,2757,2013.09.13,team-tourn,1/2-1/2,D85
119,"Iljiushenok, Ilia","Dominguez Perez, Leinier",2521,2758,2019.12.30,blitz,0-1,B94
120,"Dominguez Perez, Leinier","Holmsten, Aleksei",2534,2383,2000.10.30,team-swiss,1-0,B33
121,"Carlsen, Magnus","Dominguez Perez, Leinier",2776,2717,2009.01.28,,1-0,D81
122,"Dominguez Perez, Leinier","Nakamura, Hikaru",2758,2736,2020.09.19,blitz,0-1,C75
123,"Guseinov, Gadir","Dominguez Perez, Leinier",2666,2758,2020.01.06,,1-0,B23
124,"Dominguez Perez, Leinier","De los Santos Nunez, Eddy",2678,2174,2007.06.02,tourn,1-0,C99
125,"Hammerl, Jonas","Dominguez Perez, Leinier",2631,2739,2018.06.27,k.o. (blitz),0-1,D41
126,"Potkin, Vladimir","Dominguez Perez, Leinier",2642,2725,2012.05.12,tourn,1/2-1/2,D97
127,"Grischuk, Alexander","Dominguez Perez, Leinier",2777,2758,2019.12.28,rapid,1/2-1/2,A00
128,"Dominguez Perez, Leinier","Badalo Gonzalez, Roberto",2479,,1999.??.??,tourn,1-0,B04
129,"Svidler, Peter","Dominguez Perez, Leinier",2737,2760,2019.06.23,,1/2-1/2,
130,"Dominguez Perez, Leinier","Abdusattorov, Nodirbek",2763,2608,2019.10.27,blitz,0-1,
131,"Escobar Forero, Alder","Dominguez Perez, Leinier",2335,,1996.??.??,,1-0,B82
132,"Dominguez Perez, Leinier","Sadhwani, Raunak",2756,2616,2022.03.12,rapid,0-1,C50
133,"Dominguez Perez, Leinier","Vidit, Santosh Gujrathi",2743,2715,2019.05.17,blitz,0-1,
134,"Dreev, Aleksey","Dominguez Perez, Leinier",2704,2661,2005.03.03,tourn,1-0,D45
135,"Hernandez Carmenate, Holden","Dominguez Perez, Leinier",2582,2708,2008.09.07,team,0-1,A37
136,"Campos Moreno, Javier B","Dominguez Perez, Leinier",2475,2608,2002.12.02,team,1/2-1/2,D11
137,"Dominguez Perez, Leinier","Shulman, Yury",2710,2608,2011.10.23,tourn,1/2-1/2,E04
138,"Robson, Ray","Dominguez Perez, Leinier",2667,2739,2019.03.22,,0-1,C65
139,"Dominguez Perez, Leinier","Nogueiras Santiago, Jesus",2683,2549,2007.12.19,,1-0,B03
140,"Neiksans, Arturs","Dominguez Perez, Leinier",,2190,1997.??.??,,1/2-1/2,B85
141,"Dominguez Perez, Leinier","Topalov, Veselin",2739,2740,2019.02.23,match (blitz),1/2-1/2,C54
142,"Dominguez Perez, Leinier","Valdes, Enrique",2475,2405,1999.??.??,tourn,1-0,C67
143,"Dominguez Perez, Leinier","Abdusattorov, Nodirbek",2763,2608,2020.03.24,blitz,1/2-1/2,D05
144,"Chu, Ruotong","Dominguez Perez, Leinier",2267,2739,2018.01.18,,1/2-1/2,E06
145,"Dominguez Perez, Leinier","Mihajlov, Sebastian",2763,2383,2019.09.27,blitz,1-0,
146,"Xiong, Jeffery","Dominguez Perez, Leinier",2709,2758,2020.09.15,blitz,1/2-1/2,C82
147,"Kasparov, Garry","Dominguez Perez, Leinier",2812,2739,2017.08.14,tourn (rapid),1/2-1/2,D61
148,"Vachier Lagrave, Maxime","Dominguez Perez, Leinier",2779,2739,2018.08.02,,1-0,D77
149,"Del Mela, Gabriele","Dominguez Perez, Leinier",2472,2565,2001.01.28,swiss,1/2-1/2,D44
150,"Dominguez Perez, Leinier","Perez Candelario, Manuel",2506,2236,1999.10.27,,1-0,B32
151,"Dominguez Perez, Leinier","Leko, Peter",2719,2747,2008.11.22,team-swiss,1/2-1/2,C42
152,"Tomashevsky, Evgeny","Dominguez Perez, Leinier",2706,2757,2013.09.27,tourn,1/2-1/2,E54
153,"Karjakin, Sergey","Dominguez Perez, Leinier",2750,2763,2019.08.13,blitz,1-0,D04
154,"Dominguez Perez, Leinier","Ivanchuk, Vassily",2658,2739,2005.05.06,tourn,1/2-1/2,B36
155,"Caruana, Fabiano","Dominguez Perez, Leinier",2652,2719,2009.11.26,k.o.,1/2-1/2,D87
156,"Baramidze, David","Dominguez Perez, Leinier",2569,2683,2007.11.27,k.o.,1/2-1/2,B96
157,"Dominguez Perez, Leinier","Martinez Alcantara, Jose Eduardo",2758,2620,2020.05.02,blitz,1-0,B94
158,"Arribas Robaina, Maritza","Dominguez Perez, Leinier",2270,,1996.??.??,,1-0,B51
159,"Dominguez Perez, Leinier","Herrera, Irisberto",2565,2404,2001.01.17,swiss,1-0,B92
160,"Ivanchuk, Vassily","Dominguez Perez, Leinier",2746,2717,2009.05.23,,1-0,D76
161,"Dominguez Perez, Leinier","Kryvoruchko, Yuriy",2732,2710,2015.10.13,blitz,1-0,C77
162,"Dominguez Perez, Leinier","Gareyev, Timur",,,2019.03.31,,1/2-1/2,B56
163,"Pina Sierra, Julia","Dominguez Perez, Leinier",,,1999.??.??,swiss,0-1,D47
164,"Dominguez Perez, Leinier","Kobylkin, Evgeni",,2365,1996.??.??,,0-1,C11
165,"Shankland, Sam","Dominguez Perez, Leinier",2709,2756,2022.04.21,k.o.,1/2-1/2,A33
166,"Polgar, Judit","Dominguez Perez, Leinier",,,????.??.??,,0-1,
167,"Dominguez Perez, Leinier","Ivanchuk, Vassily",2655,2741,2006.11.28,swiss,1/2-1/2,B08
168,"Dominguez Perez, Leinier","Karjakin, Sergey",2732,2762,2015.10.14,blitz,0-1,C88
169,"Dominguez Perez, Leinier","Nogueiras Santiago, Jesus",2655,2554,2006.11.30,tourn,1/2-1/2,C11
170,"Dominguez Perez, Leinier","Quesada Perez, Yuniesky",2695,2567,2008.05.15,swiss,1/2-1/2,C54
171,"Ivanchuk, Vassily","Dominguez Perez, Leinier",2779,2717,2009.02.25,tourn,1/2-1/2,A32
172,"Dominguez Perez, Leinier","Svidler, Peter",2758,2714,2021.08.15,blitz,1-0,
173,"Skripchenko, Almira","Dominguez Perez, Leinier",2450,2565,2001.01.14,swiss,1/2-1/2,B52
174,"Leko, Peter","Dominguez Perez, Leinier",2721,2743,2019.05.17,blitz,1/2-1/2,
175,"Gasimov, Ilgar","Dominguez Perez, Leinier",2757,2712,2011.12.12,blitz,1-0,C26
176,"Dominguez Perez, Leinier","Smerdon, David C",2719,2525,2009.11.21,k.o.,1/2-1/2,B76
177,"Stojanovic, Dalibor","Dominguez Perez, Leinier",,,2000.10.??,,0-1,B54
178,"Bruzon Batista, Lazaro","Dominguez Perez, Leinier",2614,2610,2003.07.12,,1/2-1/2,E46
179,"Dominguez Perez, Leinier","So, Wesley",2739,2788,2017.11.12,match (blitz),1-0,C42
180,"Mieles Palau, Daniel","Dominguez Perez, Leinier",2468,2607,2003.??.??,,0-1,B52
