,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Duda, Jan Krzysztof","Gelfand, Boris",2738,2673,2018.12.30,blitz,1-0,A45,?
1,"Duda, Jan Krzysztof","Girish, A. Koushik",2079,2246,2009.11.15,swiss,1-0,B82,4
2,"Hammer, Jon Ludvig","Duda, Jan Krzysztof",2628,2576,2014.08.05,,1/2-1/2,D11,4.3
3,"Nakamura, Hikaru","Duda, Jan Krzysztof",2745,2730,2019.12.04,,1/2-1/2,A47,2.23
4,"Velioniskis, Robertas","Duda, Jan Krzysztof",,,2005.09.23,swiss,0-1,B21,9
5,"Vazquez, Guillermo","Duda, Jan Krzysztof",2527,2729,2021.07.16,,1/2-1/2,,11.12
6,"Duda, Jan Krzysztof","Pantsulaia, Levan",2707,2585,2017.09.04,k.o.,1-0,B06,1.2
7,"Duda, Jan Krzysztof","Salem, Abdarahim",2801,2729,2021.12.28,rapid,0-1,,12
8,"Duda, Jan Krzysztof","Budzinski, Jan",2300,2000,2011.03.05,swiss,1-0,,1.1
9,"Zvjaginsev, Vadim","Duda, Jan Krzysztof",2673,2678,2016.10.24,,1/2-1/2,C50,3.2
10,"Bok, Benjamin","Duda, Jan Krzysztof",2619,2756,2021.09.08,,1/2-1/2,,2.1
11,"Meier, Georg","Duda, Jan Krzysztof",2628,2730,2019.12.15,blitz,1-0,,85.7
12,"Duda, Jan Krzysztof","Nataf, Igor Alexandre",2666,2531,2016.06.04,team-tourn,1/2-1/2,B33,8.1
13,"Nakamura, Hikaru","Duda, Jan Krzysztof",2749,2731,2019.02.22,,1-0,C43,10.2
14,"Duda, Jan Krzysztof","Ismayilov, Nijat",2300,1000,2011.05.08,tourn,1-0,C92,9
15,"Duda, Jan Krzysztof","Fridman, Daniel",2660,2624,2016.01.09,swiss (rapid),1-0,D35,5
16,"Edouard, Romain","Duda, Jan Krzysztof",2680,2576,2014.08.10,,1/2-1/2,B90,8.5
17,"Duda, Jan Krzysztof","Wojtaszek, Radoslaw",2717,2736,2017.12.17,swiss (rapid),1/2-1/2,B90,10.1
18,"Mista, Aleksander","Duda, Jan Krzysztof",2574,2506,2013.05.25,team-tourn,1/2-1/2,A29,2
19,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,1-0,B29,?
20,"Duda, Jan Krzysztof","Cordova, Emilio",2753,2592,2020.08.21,,1-0,,1.1
21,"Duda, Jan Krzysztof","So, Wesley",2738,2772,2021.08.28,rapid,0-1,,2.1
22,"Bartel, Mateusz","Duda, Jan Krzysztof",2619,2506,2013.09.01,team-tourn,1/2-1/2,A13,6.4
23,"Salgado Lopez, Ivan","Duda, Jan Krzysztof",2662,2675,2016.09.13,,1/2-1/2,B17,11
24,"Duda, Jan Krzysztof","So, Wesley",2799,2816,2020.11.19,match,1/2-1/2,,2.4
25,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,0-1,A46,1
26,"Duda, Jan Krzysztof","Grischuk, Alexander",2729,2776,2021.07.27,,1-0,,39.5
27,"Tazbir, Marcin","Duda, Jan Krzysztof",2555,2542,2013.11.14,,0-1,A37,6.14
28,"Duda, Jan Krzysztof","Valsecchi, Alessio",2717,2501,2017.12.16,swiss (rapid),1-0,D38,6
29,"Carlsen, Magnus","Duda, Jan Krzysztof",2855,2756,????.??.??,,0-1,,1
30,"Mista, Aleksander","Duda, Jan Krzysztof",2564,2274,2011.08.09,swiss,0-1,,7.4
31,"Duda, Jan Krzysztof","Moiseenko, Alexander",2717,2667,2017.12.30,blitz,1-0,A13,15.35
32,"Duda, Jan Krzysztof","Radjabov, Teimour",2756,2763,????.??.??,,1-0,,4
33,"Karjakin, Sergey","Duda, Jan Krzysztof",2773,2737,2018.09.06,,0-1,A07,?
34,"Bluebaum, Matthias","Duda, Jan Krzysztof",,,2015.09.13,,1/2-1/2,E04,11.1
35,"Duda, Jan Krzysztof","Firouzja, Alireza",2757,2728,2020.10.05,,0-1,,1.3
36,"Duda, Jan Krzysztof","Almasi, Zoltan",2678,2702,2017.04.09,team-tourn,0-1,A30,12.8
37,"Sergeyevich Nadanian, Ashot","Duda, Jan Krzysztof",2399,2563,2014.03.12,,1/2-1/2,E20,9.53
38,"Duda, Jan Krzysztof","Sanal, Vahap",2379,2275,2011.11.22,swiss,1-0,C45,5
39,"Duda, Jan Krzysztof","Keymer, Vincent",2738,2500,2019.02.14,team-swiss (rapid),1-0,D11,6
40,"Shankland, Sam","Duda, Jan Krzysztof",2691,2729,2021.06.15,,1-0,B90,2.2
41,"Duda, Jan Krzysztof","Maksimenko, Andrei",2684,2481,2017.01.08,swiss (rapid),1-0,D20,6
42,"So, Wesley","Duda, Jan Krzysztof",2780,2737,2018.11.30,,1/2-1/2,E04,?
43,"Yang, Kaiqi","Duda, Jan Krzysztof",2384,2774,2020.08.21,,0-1,D02,2
44,"Duda, Jan Krzysztof","Giri, Anish",2738,2783,2018.12.30,swiss,1/2-1/2,D00,19.2
45,"Karjakin, Sergey","Duda, Jan Krzysztof",2752,2753,2020.10.25,,1-0,B90,4
46,"Meier, Georg","Duda, Jan Krzysztof",2628,2730,2019.12.15,blitz,1-0,,81.7
47,"Kwiatkowski, Wiktor","Duda, Jan Krzysztof",,,2010.07.08,,0-1,,3.3
48,"Bajarani, Ulvi","Duda, Jan Krzysztof",,,2015.09.10,,1/2-1/2,B23,8.1
49,"Grischuk, Alexander","Duda, Jan Krzysztof",2766,2737,2018.09.18,,1-0,C42,2.9
50,"Duda, Jan Krzysztof","Cori, Jorge",2756,2654,2021.09.09,,1-0,,5.1
51,"So, Wesley","Duda, Jan Krzysztof",2754,2728,2019.05.19,,1-0,C53,1.3
52,"Duda, Jan Krzysztof","Edouard, Romain",2734,2641,2020.03.16,blitz,1-0,B96,3.1
53,"Duda, Jan Krzysztof","Bacrot, Etienne",2738,2684,2019.02.01,team-swiss (rapid),0-1,A13,4
54,"Mamedyarov, Shakhriyar","Duda, Jan Krzysztof",2762,2756,????.??.??,,1/2-1/2,,3
55,"Duda, Jan Krzysztof","Karjakin, Sergey",2774,2709,2020.11.24,tourn,0-1,,15.7
56,"So, Wesley","Duda, Jan Krzysztof",2780,2737,2018.11.30,,1/2-1/2,B52,3.1
57,"Duda, Jan Krzysztof","Wojtaszek, Radoslaw",2737,2733,2018.07.17,swiss,1-0,D00,3
58,"Duda, Jan Krzysztof","Riazantsev, Alexander",2468,2705,2012.12.15,rapid,1-0,B01,5.17
59,"Duda, Jan Krzysztof","Karjakin, Sergey",2729,2757,2021.08.05,,1-0,,65.1
60,"Krasenkow, Michal","Duda, Jan Krzysztof",2628,2724,2018.05.15,tourn,1/2-1/2,D28,4
61,"Vachier Lagrave, Maxime","Duda, Jan Krzysztof",2784,2743,2021.01.30,,1/2-1/2,,12.6
62,"Delchev, Aleksander","Duda, Jan Krzysztof",2550,2753,2020.08.27,,0-1,C07,1.1
63,"Duda, Jan Krzysztof","Artemiev, Vladislav",2756,2699,????.??.??,,0-1,,7
64,"Duda, Jan Krzysztof","Anton Guijarro, David",2743,2679,2021.01.24,,1/2-1/2,C50,8
65,"Duda, Jan Krzysztof","Fedoseev, Vladimir",2737,2707,2018.07.29,tourn,1/2-1/2,D31,3
66,"Duda, Jan Krzysztof",mohammad nubairshah shaikh,2247,2071,2010.10.27,,1-0,B12,8.2
67,"Svidler, Peter","Duda, Jan Krzysztof",2723,2753,2020.04.16,,1-0,A20,3.8
68,"Psyk, Radoslaw","Duda, Jan Krzysztof",2313,2724,2018.03.03,team-swiss (rapid),1-0,C88,5.25
69,"Duda, Jan Krzysztof","Giri, Anish",2730,2780,2019.09.06,,1-0,D45,1.27
70,"Mozharov, Mikhail","Duda, Jan Krzysztof",2518,2468,2013.01.04,swiss,0-1,D40,9
71,"Wang, Jiaying","Duda, Jan Krzysztof",2011,2247,2010.10.22,,0-1,C54,3.1
72,"Caruana, Fabiano","Duda, Jan Krzysztof",2823,2743,2020.11.15,,0-1,C42,1
73,"Duda, Jan Krzysztof","Balogh, Csaba",2587,2648,2014.06.10,schev,1/2-1/2,C65,3.6
74,"Duda, Jan Krzysztof","Adhiban, Baskaran",2729,2660,2021.06.28,,0-1,C78,13.7
75,"Duda, Jan Krzysztof","Grischuk, Alexander",2737,2766,2018.09.18,,1/2-1/2,B91,2.18
76,"Wojtaszek, Radoslaw","Duda, Jan Krzysztof",2711,2553,2014.01.13,tourn,1/2-1/2,D12,3
77,"Maze, Sebastien","Duda, Jan Krzysztof",2615,2724,2018.05.31,,1/2-1/2,B81,6.6
78,"Shonia, Giorgi","Duda, Jan Krzysztof",,,2005.09.18,swiss,0-1,A09,5
79,"Vlassov, Nikolai","Duda, Jan Krzysztof",2352,2753,2020.08.18,swiss (blitz),0-1,B01,1
80,"Duda, Jan Krzysztof","Mamedyarov, Shakhriyar",2738,2782,2021.07.10,,1-0,,14.4
81,"Duda, Jan Krzysztof","Muzychuk, Anna",2553,2566,2014.01.14,tourn,0-1,C78,4
82,"Aronian, Levon","Duda, Jan Krzysztof",2784,2658,2015.10.13,blitz,1-0,A13,9.3
83,"Vachier Lagrave, Maxime","Duda, Jan Krzysztof",2749,2738,2021.07.08,,1-0,,4.3
84,"Duda, Jan Krzysztof","Caruana, Fabiano",2743,2823,2020.11.15,schev,1-0,C11,1.17
85,"Duda, Jan Krzysztof","Carlsen, Magnus",2720,2854,????.??.??,,1-0,,3
86,"Duda, Jan Krzysztof","Naiditsch, Arkadij",2610,2720,2015.06.07,team-tourn,1/2-1/2,C67,9.1
87,"Ponomariov, Ruslan","Duda, Jan Krzysztof",2694,2717,2017.12.15,blitz,0-1,C10,15.4
88,"Duda, Jan Krzysztof","Nakamura, Hikaru",2731,2749,2019.02.23,match (blitz),1-0,A18,9.2
89,"Van Foreest, Jorden","Duda, Jan Krzysztof",2629,2717,2017.12.30,blitz,0-1,C00,21.34
