,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Lu, Shanglei","Firouzja, Alireza",2620,2475,2016.03.01,,1-0,B51
1,Kushagra Mohan,"Firouzja, Alireza",2351,2728,2020.06.23,,0-1,B18
2,"Firouzja, Alireza","Abdulov, Orkhan Javanshir",2323,2363,2015.10.03,swiss,1-0,C10
3,"Mchedlishvili, Mikheil","Firouzja, Alireza",2578,2085,2014.12.18,swiss (rapid),1-0,C65
4,"Morelle, Laura","Firouzja, Alireza",2313,2682,2019.06.01,blitz,1-0,B22
5,"Artemiev, Vladislav","Firouzja, Alireza",2736,2657,2019.03.05,team-tourn,1-0,B07
6,"Wei, Yi","Firouzja, Alireza",2736,2682,2019.07.28,,1-0,C46
7,"Dubov, Daniil","Firouzja, Alireza",2710,2759,2021.05.19,,0-1,E70
8,"Firouzja, Alireza","Valdes Jony Wilson, Leon",2728,2402,2020.09.08,,1-0,A49
9,"Firouzja, Alireza","Esipenko, Andrey",2728,2682,2020.06.09,,1/2-1/2,B01
10,"Firouzja, Alireza","Carlsen, Magnus",2703,2881,2020.04.20,,1/2-1/2,
11,"Sipila, Vilka","Firouzja, Alireza",2402,2728,2020.06.30,,1-0,A01
12,"Firouzja, Alireza","Sevian, Samuel",2682,2666,2019.07.09,,0-1,A31
13,"Firouzja, Alireza","Shapiro, Viktor",2682,2249,2019.06.01,blitz,1-0,B05
14,"Firouzja, Alireza","Sokolov, Ivan",2079,2626,2017.07.12,,0-1,A07
15,"Fedoseev, Vladimir","Firouzja, Alireza",2756,2750,2020.11.04,,1-0,
16,"Firouzja, Alireza","So, Wesley",2759,2772,2021.07.31,,1/2-1/2,
17,"Sanz Wawer, Daniel","Firouzja, Alireza",1550,1946,2013.12.26,swiss,0-1,A71
18,"Carlsen, Magnus","Firouzja, Alireza",2863,2728,2020.09.19,blitz,1/2-1/2,B13
19,"Liang, Awonder","Firouzja, Alireza",2587,2759,2021.08.28,rapid,1/2-1/2,
20,"Robson, Ray","Firouzja, Alireza",2673,2728,2020.03.13,,1/2-1/2,C65
21,"Firouzja, Alireza","Radjabov, Teimour",2703,2758,2021.04.25,,1/2-1/2,
22,"Carlsen, Magnus","Firouzja, Alireza",2862,2749,2021.02.27,,1-0,B54
23,"Firouzja, Alireza","Pourramezanali, Amirreza",2470,2510,2017.03.10,,1-0,C18
24,"Firouzja, Alireza","Noah, A Hussein Al Ali",2561,2288,2018.08.03,team-tourn,1-0,D25
25,"Khamisi, S Jafar","Firouzja, Alireza",2279,2079,2016.02.10,,0-1,C65
26,"Firouzja, Alireza","Bruzon Batista, Lazaro",2572,2706,????.??.??,team,1-0,A46
27,"Firouzja, Alireza","Aronian, Levon",2702,2758,2019.10.03,,0-1,C65
28,"Firouzja, Alireza","Sarana, Alexey",2685,2640,2019.07.20,,1/2-1/2,
29,"Rapport, Richard","Firouzja, Alireza",2763,2759,2021.06.21,blitz,0-1,A04
30,"Mortazavi, Ali","Firouzja, Alireza",2333,2759,2021.04.20,,0-1,A04
31,"Le, Quang Liem","Firouzja, Alireza",2709,2759,2021.08.03,,1-0,
32,"Svidler, Peter","Firouzja, Alireza",2714,2759,2021.06.21,blitz,1/2-1/2,B30
33,"Ghaem Maghami, Ehsan","Firouzja, Alireza",2559,2372,2014.11.18,swiss,1-0,E61
34,"Firouzja, Alireza","Narayanan, S.r",2749,2618,2020.12.19,,1-0,A40
35,"Firouzja, Alireza","Andreikin, Dmitry",2079,2712,2018.02.22,,1/2-1/2,C17
36,"Pourramezanali, Amirreza","Firouzja, Alireza",2528,2618,2019.02.01,tourn,0-1,B04
37,"Firouzja, Alireza","Ertan, Can",2669,2404,2019.04.22,,1-0,C82
38,"Wei, Yi","Firouzja, Alireza",2736,2682,2019.07.28,,0-1,E90
39,"Martinez Alcantara, Jose Eduardo","Firouzja, Alireza",2583,2682,2019.05.21,,0-1,C77
