,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Karjakin, Sergey","Giri, Anish",2773,2785,2016.07.14,swiss,1/2-1/2,C54,2
1,"Giri, Anish","Carlsen, Magnus",2782,2855,2016.06.19,tourn (blitz),1/2-1/2,C55,7
2,"Giri, Anish","Eljanov, Pavel",2790,2765,2016.04.18,,1-0,C65,1
3,"Giri, Anish","Sutovsky, Emil",2588,2657,2010.01.21,tourn,1-0,D85,5
4,"Nepomniachtchi, Ian","Giri, Anish",2721,2734,2013.12.14,tourn (blitz),1-0,D90,5
5,"Giri, Anish","Aleksandrov, Aleksej",2714,2626,2011.11.23,team-tourn,1-0,A13,4
6,"Korobov, Anton","Giri, Anish",2670,2776,2019.11.10,blitz,1/2-1/2,D10,15.2
7,"Penkov, Aleksey","Giri, Anish",2076,,2005.05.17,swiss,0-1,A02,2
8,"Giri, Anish","Korobov, Anton",2764,2688,2020.06.13,,1/2-1/2,C01,2.8
9,"Pichot, Alan","Giri, Anish",2630,2780,2021.05.23,,0-1,,1.8
10,"Caruana, Fabiano","Giri, Anish",2819,2779,2019.07.31,blitz,1-0,,13.1
11,"Carlsen, Magnus","Giri, Anish",2881,2752,2014.06.02,blitz,1-0,D97,2.4
12,"Papaioannou, Ioannis","Giri, Anish",2638,2778,2015.11.16,,1/2-1/2,D80,4.8
13,"Giri, Anish","Kramnik, Vladimir",2222,2769,2014.12.09,k.o. (rapid),1/2-1/2,A47,3.2
14,"Nijboer, Friso","Giri, Anish",2540,2466,2008.12.29,swiss,0-1,B48,8
15,"Mamedyarov, Shakhriyar","Giri, Anish",2801,2782,2018.09.07,,1-0,C27,1.24
16,"Shirov, Alexei","Giri, Anish",2691,2768,2014.10.14,match,1/2-1/2,D38,3.1
17,"Giri, Anish","Duda, Jan",2774,2756,2021.11.08,,1/2-1/2,A35,1.13
18,"Giri, Anish","Duda, Jan",2774,2756,2021.11.08,,1-0,B40,1.36
19,"Giri, Anish","Radjabov, Teimour",2734,2713,2013.12.14,tourn (blitz),1/2-1/2,D78,10
20,"Giri, Anish","Harikrishnan, M.",2780,2743,2018.10.04,,1/2-1/2,D38,?
21,"Anton Guijarro, David","Giri, Anish",2679,2764,2021.01.31,,1/2-1/2,,13.1
22,"Andreikin, Dmitry","Giri, Anish",2722,2768,2014.11.02,tourn,1/2-1/2,D43,11
23,"Vachier Lagrave, Maxime","Giri, Anish",2789,2782,2018.06.14,rapid,1-0,D41,8.4
24,"Giri, Anish","Karjakin, Sergey",2779,2750,2019.08.26,,1/2-1/2,A29,9.4
25,"Carlsen, Magnus","Giri, Anish",2856,2772,2021.12.30,blitz,0-1,C65,15.1
26,"Smeets, Jan","Giri, Anish",2669,2677,2010.12.11,team-tourn,0-1,B92,5.1
27,"Jurcik, Marian","Giri, Anish",2466,2677,2010.09.23,,0-1,D12,3.4
28,"Giri, Anish","Leko, Peter",2793,2707,2015.09.18,k.o.,1-0,E05,3.2
29,"Giri, Anish","Karjakin, Sergey",2714,2763,2011.12.15,swiss (rapid),1/2-1/2,A60,4
30,"Giri, Anish","Eid, Fadi",2780,2328,2018.09.24,team-swiss,1-0,D02,1.12
31,"Giri, Anish","Paravyan, David",2772,2617,2022.02.12,rapid,1/2-1/2,C42,5
32,"Giri, Anish","Nakamura, Hikaru",2782,2787,2016.06.09,tourn (rapid),1/2-1/2,A14,3
33,"Giri, Anish","Caruana, Fabiano",2714,2727,2012.01.06,tourn,1/2-1/2,A25,10
