,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Ragger, Markus","Grischuk, Alexander",2632,2732,2018.12.28,blitz,1/2-1/2,C54
1,"Rapport, Richard","Grischuk, Alexander",2698,2750,2017.08.03,,1/2-1/2,A48
2,"Grischuk, Alexander","Aronian, Levon",2784,2778,2020.06.07,,1/2-1/2,
3,"Anand, Viswanathan","Grischuk, Alexander",2768,2766,2018.08.14,tourn (rapid),1-0,B81
4,"Grischuk, Alexander","Karjakin, Sergey",2761,2781,2017.06.25,tourn (rapid),1/2-1/2,A14
5,"Grischuk, Alexander","Svidler, Peter",2748,2726,2009.05.23,k.o. (rapid),0-1,B03
6,"Vachier Lagrave, Maxime","Grischuk, Alexander",2795,2750,2017.10.23,k.o. (blitz),1-0,C65
7,"Grischuk, Alexander","Kotronias, Vasilios",2719,2607,2004.06.21,,1-0,B65
8,"Shankland, Sam","Grischuk, Alexander",2704,2758,2022.03.02,,0-1,
9,"Radjabov, Teimour","Grischuk, Alexander",2710,2750,2017.05.14,,1/2-1/2,B97
10,"Grischuk, Alexander","Fressinet, Laurent",2733,2658,2009.10.07,team-swiss,1-0,E07
11,"Giri, Anish","Grischuk, Alexander",2785,2750,2017.05.21,,1/2-1/2,A21
12,"Grischuk, Alexander","Vukasin, Ivana",2777,2608,2014.04.07,team-swiss,1-0,C00
13,"Grischuk, Alexander","Pelletier, Yannick",2669,2531,2001.07.26,swiss,1/2-1/2,C02
14,"Grischuk, Alexander","Bacrot, Etienne",2758,2635,2022.03.03,,1/2-1/2,
15,"Aronian, Levon","Grischuk, Alexander",2784,2752,2016.04.06,match (blitz),1-0,B07
16,"Grischuk, Alexander","Topalov, Veselin",2761,2749,2017.06.25,tourn (rapid),1-0,B90
17,"Karjakin, Sergey","Grischuk, Alexander",2722,2733,2009.09.08,tourn,1-0,C93
18,"Bacrot, Etienne","Grischuk, Alexander",2705,2719,2008.12.27,tourn,1/2-1/2,D20
19,"Gelfand, Boris","Grischuk, Alexander",2709,2719,2004.04.??,swiss,1/2-1/2,E07
20,"Mamedyarov, Shakhriyar","Grischuk, Alexander",2801,2766,2018.08.15,tourn (rapid),1/2-1/2,D71
21,"Grischuk, Alexander","Anand, Viswanathan",2709,2779,2006.09.07,blitz,1-0,C78
22,"Paravyan, David","Grischuk, Alexander",2634,2771,2018.12.28,swiss (rapid),0-1,E90
23,"Grischuk, Alexander","Disconzi da Silva, Rodrigo",2777,2333,2020.01.20,,1-0,B41
24,"Grischuk, Alexander","Carlsen, Magnus",2750,2832,2017.11.21,k.o. (blitz),1-0,C51
25,"Grischuk, Alexander","Bu, Xiangzhi",2704,2615,2004.10.29,team-swiss,1-0,B76
26,"Demidov, Mikhail","Grischuk, Alexander",2503,2785,2013.09.01,tourn (blitz),0-1,D00
27,"Grischuk, Alexander","Gelman, Alexander",,2375,1995.??.??,,0-1,C41
28,"Lima De Morais, Luis Gustavo","Grischuk, Alexander",,,2007.11.??,,1/2-1/2,C89
29,"Gasimov, Ilgar","Grischuk, Alexander",2757,2752,2011.12.11,rapid,1/2-1/2,B12
30,"Glek, Igor Vladimirovich","Grischuk, Alexander",2575,2720,2005.08.14,swiss (rapid),0-1,B10
31,"Grischuk, Alexander","Shirov, Alexei",2671,2715,2002.04.07,k.o. (rapid),0-1,B31
32,"Grischuk, Alexander","Trifonov, Pavel",2752,2271,2016.05.27,swiss (rapid),1-0,C02
33,"Grischuk, Alexander","Vallejo Pons, Francisco",2717,2650,2006.03.19,tourn (rapid),1/2-1/2,B92
34,"Grischuk, Alexander","Karpov, Anatoly",2736,2619,2009.11.16,tourn (blitz),1/2-1/2,E42
35,"Tokorev, Dmitry","Grischuk, Alexander",,2365,1996.??.??,swiss,1/2-1/2,C54
36,"Artemiev, Vladislav","Grischuk, Alexander",2716,2777,2020.10.04,k.o. (blitz),1-0,A39
37,"Tregubov, Pavel V","Grischuk, Alexander",2607,2720,2005.08.14,swiss (rapid),0-1,D75
38,"Grischuk, Alexander","Yu, Yangyi",2761,2753,2017.07.20,match,1/2-1/2,C42
39,"Grischuk, Alexander","Piket, Jeroen",2671,2659,2002.01.15,tourn,1-0,C82
40,"Grischuk, Alexander","Aronian, Levon",2747,2808,2011.03.18,tourn (rapid),1/2-1/2,D15
41,"Grischuk, Alexander","Klisurica, Jashar",2704,,2004.10.04,,1-0,B06
42,"Grischuk, Alexander","Giri, Anish",2777,2764,2020.05.15,,0-1,D41
43,"Tkachiev, Vladislav","Grischuk, Alexander",2650,2733,2009.07.26,,0-1,A30
44,"Shirov, Alexei","Grischuk, Alexander",2715,2671,2002.04.07,k.o. (rapid),0-1,B12
45,"Grischuk, Alexander","Safarli, Eltaj",2764,2585,2022.01.04,,1-0,B23
46,"Grischuk, Alexander","Kamsky, Gata",2719,2729,2008.11.08,tourn (blitz),1-0,E15
47,"Kasparov, Garry","Grischuk, Alexander",2849,2663,2001.03.21,rapid,1/2-1/2,B45
48,"Caruana, Fabiano","Grischuk, Alexander",2844,2797,2014.10.12,tourn,0-1,E60
49,"Grischuk, Alexander","Bareev, Evgeny",2704,2715,2004.11.25,tourn,1-0,B13
50,"Morozevich, Alexander","Grischuk, Alexander",2731,2789,2014.09.06,tourn (blitz),1/2-1/2,B94
51,"Grischuk, Alexander","Wesley, George",2771,2762,2019.06.03,,0-1,D70
52,"Artemiev, Vladislav","Grischuk, Alexander",2704,2776,2021.06.23,k.o.,1-0,A04
53,"Shirov, Alexei","Grischuk, Alexander",2746,2606,2000.12.14,k.o.,1-0,C96
54,"Grischuk, Alexander","Volkov, Sergey",2606,2554,2000.08.20,,0-1,C05
55,"Grischuk, Alexander","Dreev, Aleksey",2715,2607,2007.11.22,,1/2-1/2,D46
56,"Grischuk, Alexander","Shirov, Alexei",2757,2713,2011.10.01,team-swiss,1-0,C78
57,"Nepomniachtchi, Ian","Grischuk, Alexander",2703,2752,2016.05.07,swiss (blitz),1-0,B81
58,"Grischuk, Alexander","Adams, Michael",2754,2722,2012.09.27,tourn,1/2-1/2,C84
59,"Grischuk, Alexander","Skomorokhin, Roman",2395,2480,1998.07.03,,1-0,B81
60,"Andreikin, Dmitry","Grischuk, Alexander",2724,2776,2021.06.23,k.o.,1/2-1/2,A41
61,"Grischuk, Alexander","Lima de Morais, Luis Gustavo",,,2000.11.??,,1/2-1/2,C00
62,"Grachev, Boris","Grischuk, Alexander",2669,2733,2009.08.02,swiss (rapid),1-0,D25
63,"Nepomniachtchi, Ian","Grischuk, Alexander",2708,2764,2013.04.13,team-swiss,0-1,C48
64,"Grischuk, Alexander","Seirawan, Yasser",2702,2631,2002.06.01,k.o. (rapid),1-0,B12
65,"Grischuk, Alexander","Kramnik, Vladimir",,,????.??.??,,1-0,
66,"Grischuk, Alexander","Wang, Hao",2764,2737,2012.12.17,tourn (blitz),1-0,A16
67,"Grischuk, Alexander","Jobava, Baadur",2776,2603,2021.05.13,,0-1,
68,"Grischuk, Alexander","Amin, Bassem",2777,2667,2020.03.02,,1/2-1/2,E68
69,"Grischuk, Alexander","Khalifman, Alexander",2671,2688,2002.01.26,tourn,1-0,B85
70,"Smirin, Ilia","Grischuk, Alexander",2674,2751,2016.11.10,swiss,1/2-1/2,B34
71,"Grischuk, Alexander","Gaprindashvili, Valeriane",2490,2405,1999.01.24,,1/2-1/2,C10
72,"Grischuk, Alexander","Gabriel, Christian",2549,2578,1999.??.??,,1/2-1/2,C95
73,"Vachier Lagrave, Maxime","Grischuk, Alexander",2795,2750,2017.10.23,k.o. (blitz),0-1,A45
74,"Ragger, Markus","Grischuk, Alexander",2672,2785,2013.11.11,team-swiss,0-1,D85
75,"Grischuk, Alexander","Karjakin, Sergey",2764,2775,2012.12.29,tourn (rapid),1-0,C77
76,"Grischuk, Alexander","Carlsen, Magnus",2754,2857,2016.08.23,match (blitz),0-1,D37
