,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Karjakin, Sergey","Giri, Anish",2773,2785,2016.07.14,swiss,1/2-1/2,C54
1,"Maliar, Anatoliy","Karjakin, Sergey",,2460,2002.05.20,swiss,1/2-1/2,D94
2,"Aravindh, Chithambaram","Karjakin, Sergey",2641,2752,2020.06.23,,1-0,A07
3,"Grischuk, Alexander","Karjakin, Sergey",2766,2782,2018.06.24,tourn (blitz),1/2-1/2,D37
4,"Anand, Viswanathan","Karjakin, Sergey",2759,2782,2018.06.21,tourn (rapid),1/2-1/2,C65
5,"Karjakin, Sergey","Carlsen, Magnus",2771,2881,2014.06.17,swiss (rapid),1/2-1/2,B78
6,"Karjakin, Sergey","Zhang, Pengxiang",2694,2644,2007.10.09,,1/2-1/2,C18
7,"Karjakin, Sergey","Wesley, George",2785,2794,2017.01.22,,1/2-1/2,A13
8,"Jussupow, Artur","Karjakin, Sergey",2583,2678,2007.08.29,,0-1,D05
9,"Karjakin, Sergey","Cheparinov, Ivan",2763,2650,2011.11.06,team-swiss,0-1,B80
10,"Svidler, Peter","Karjakin, Sergey",2760,2763,2018.03.05,tourn (blitz),0-1,A11
11,"Karjakin, Sergey","Morkore, Thomas",2566,,2004.05.05,tourn (blitz),1-0,B90
12,"Sinzhuk, Pavel","Karjakin, Sergey",,,2000.??.??,,0-1,D85
13,"Caruana, Fabiano","Karjakin, Sergey",2808,2781,2017.06.24,tourn (rapid),1-0,A30
14,"Karjakin, Sergey","Onischuk, Alexander",2762,2662,2015.09.16,k.o.,1/2-1/2,C65
15,"Kobalia, Mikhail","Karjakin, Sergey",2630,2580,2004.06.19,k.o.,1/2-1/2,C55
16,"Karjakin, Sergey","Kasimdzhanov, Rustam",2786,2709,2013.04.25,tourn,1/2-1/2,C45
17,"Karjakin, Sergey","Mozharov, Mikhail",2772,2508,2013.09.01,tourn (blitz),1/2-1/2,B40
18,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2800,2781,2017.06.25,tourn (rapid),0-1,E43
19,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2725,2721,2009.05.07,swiss,1/2-1/2,D45
20,"Shakirov, A.","Karjakin, Sergey",2699,2661,2006.06.19,,1-0,E15
21,"Karjakin, Sergey","Livaic, Leon",2752,2507,2020.05.02,blitz,0-1,C19
22,"Karjakin, Sergey","Baburin, Alexander",2760,2452,2018.09.25,team-swiss,1/2-1/2,B04
23,"Semenov, Dmitri","Karjakin, Sergey",2241,2460,2002.03.??,tourn,0-1,C29
24,"Papa, Severin","Karjakin, Sergey",2356,2547,2003.??.??,,1-0,B80
25,"Karjakin, Sergey","Carlsen, Magnus",2778,2843,2012.10.11,,1/2-1/2,C19
26,"Grischuk, Alexander","Karjakin, Sergey",2764,2775,2012.12.29,tourn (rapid),1/2-1/2,C84
27,"Radjabov, Teimour","Karjakin, Sergey",2742,2694,2007.11.04,team-tourn,1/2-1/2,B96
28,"Kramnik, Vladimir","Karjakin, Sergey",2753,2748,2019.06.16,,1/2-1/2,C53
29,"Karjakin, Sergey","Radjabov, Teimour",2788,2744,2011.07.20,team-tourn,1/2-1/2,C63
30,"Kosteniuk, Alexandra","Karjakin, Sergey",2541,2770,2014.11.13,tourn (blitz),0-1,B22
31,"Aronian, Levon","Karjakin, Sergey",2799,2773,2017.08.17,tourn (blitz),1/2-1/2,A29
32,"Gerzhoy, Leonid","Karjakin, Sergey",2257,2338,2001.09.06,swiss,1/2-1/2,A25
33,"Karjakin, Sergey","Jakovenko, Dmitry",2732,2711,2008.06.11,tourn,1-0,C42
34,"Karjakin, Sergey","Khalifman, Alexander",2757,2613,2015.03.08,swiss,1-0,B31
35,"Karjakin, Sergey","Rapport, Richard",2743,2763,2022.01.23,,1/2-1/2,
