,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Mamedyarov, Shakhriyar","Harikrishna, Pentala",2646,2645,2005.09.18,,1/2-1/2,C29
1,"Mamedyarov, Shakhriyar","Nepomniachtchi, Ian",2774,2775,2019.06.28,,0-1,
2,"Mamedyarov, Shakhriyar","Nguyen, Ngoc Truong Son",2753,2625,2013.06.10,swiss (blitz),1-0,D12
3,"Dubov, Daniil","Mamedyarov, Shakhriyar",2655,2748,2015.12.23,,1/2-1/2,E15
4,"Mamedyarov, Shakhriyar","Shtembuliak, Evgeny",2770,2620,2020.11.10,swiss,1-0,B07
5,"Mamedyarov, Shakhriyar","Ponomariov, Ruslan",,,2012.11.30,swiss,1/2-1/2,
6,"Prohorov, Olexandr","Mamedyarov, Shakhriyar",2086,2764,2020.06.26,,0-1,B01
7,"Mamedyarov, Shakhriyar","Firouzja, Alireza",2772,2723,2019.12.29,blitz,1/2-1/2,E60
8,"Mamedyarov, Shakhriyar","Mamedov, Rauf",2522,2306,2001.06.28,,1-0,C11
9,"Gashimov, Vugar","Mamedyarov, Shakhriyar",2758,2719,2009.11.17,,1/2-1/2,C01
10,"Mamedyarov, Shakhriyar","Matlakov, Maxim",2775,2676,2013.08.15,k.o.,1/2-1/2,E12
11,"Mamedyarov, Shakhriyar","Papa, Severin",2596,2356,2003.??.??,,1-0,C41
12,"Jakovenko, Dmitry","Mamedyarov, Shakhriyar",2698,2772,2019.12.13,,1-0,C53
13,"Caruana, Fabiano","Mamedyarov, Shakhriyar",2783,2760,2014.04.29,tourn,1-0,D11
14,"Mamedyarov, Shakhriyar","Guliyev, Namig",2479,2343,2001.??.??,tourn,1-0,D24
15,"Mamedyarov, Shakhriyar","Yu, Yangyi",2799,2751,2017.12.28,swiss (rapid),1-0,D38
16,"Mamedyarov, Shakhriyar","Nepomniachtchi, Ian",2770,2789,2021.03.15,,0-1,B22
17,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2800,2781,2017.06.25,tourn (rapid),0-1,E43
18,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2725,2721,2009.05.07,swiss,1/2-1/2,D45
19,"Gozzoli, Yannick","Mamedyarov, Shakhriyar",2373,2542,2002.07.17,swiss,1/2-1/2,A16
20,"Hilby, Craig","Mamedyarov, Shakhriyar",2445,2817,2019.02.27,team-swiss (rapid),0-1,A50
21,"Mamedyarov, Shakhriyar","Adams, Michael",2726,2723,2012.07.11,team-tourn,1/2-1/2,E34
22,"Mamedyarov, Shakhriyar","Gutierrez Castillo, Oscar",2662,2213,2004.08.24,,1-0,D56
23,"Safarli, Eltaj","Mamedyarov, Shakhriyar",2593,2767,2019.09.16,,0-1,C41
24,"Mamedyarov, Shakhriyar","Boricsev, Oleg",2646,2373,2005.08.14,swiss,1-0,D32
25,"Shankland, Sam","Mamedyarov, Shakhriyar",2708,2767,2022.01.26,,1/2-1/2,E04
26,"Mamedyarov, Shakhriyar","Zhigalko, Andrey",2580,2446,2002.11.24,,1-0,D74
27,"Chernin, Alexander","Mamedyarov, Shakhriyar",2587,2754,2007.04.08,,0-1,A26
28,"Shirov, Alexei","Mamedyarov, Shakhriyar",2726,2660,2004.10.06,team-swiss,1/2-1/2,C83
29,"Mamedyarov, Shakhriyar","Maharramzade, Javad",2201,2423,2000.??.??,tourn,1/2-1/2,A47
30,"Mamedyarov, Shakhriyar","Giri, Anish",2801,2782,2018.09.07,,1-0,C27
31,"Grischuk, Alexander","Mamedyarov, Shakhriyar",2760,2761,2010.11.10,tourn,1/2-1/2,D70
32,"Laznicka, Viktor","Mamedyarov, Shakhriyar",2596,2728,2006.10.13,team,1/2-1/2,C68
33,"Lavrov, Maxim","Mamedyarov, Shakhriyar",2401,2770,2021.05.08,,0-1,A05
34,"Mamedyarov, Shakhriyar","Eljanov, Pavel",2646,2639,2005.08.04,team-swiss,1-0,D82
35,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2748,2779,2016.05.26,tourn,1/2-1/2,E15
36,"Mamedyarov, Shakhriyar","Graf, Alexander",2646,2605,2005.09.03,team,1/2-1/2,D37
37,"Mullon, J.","Mamedyarov, Shakhriyar",2379,2746,2011.10.28,,1/2-1/2,C85
38,"Mamedyarov, Shakhriyar","Carlsen, Magnus",2753,2864,2013.06.12,,1-0,D37
39,"Wang, Yue","Mamedyarov, Shakhriyar",2752,2763,2010.05.17,tourn,1/2-1/2,E68
40,"Mastrovasilis, Dimitrios","Mamedyarov, Shakhriyar",2601,2761,2016.09.08,,1/2-1/2,B11
41,"Mamedyarov, Shakhriyar","So, W.",2767,2767,2019.10.02,,1/2-1/2,A00
42,"Mamedyarov, Shakhriyar","Sindarov, Javokhir",2770,2544,2020.12.19,,0-1,A56
43,"Mamedyarov, Shakhriyar","Saenko, Oleg",,,1998.??.??,,0-1,A44
44,"Mamedyarov, Shakhriyar","Inarkiev, Ernesto",2736,2660,2015.10.13,blitz,1-0,D37
45,"Khalifman, Alexander","Mamedyarov, Shakhriyar",2613,2754,2015.04.04,,1/2-1/2,D41
46,"Drozdovskij, Yuri","Mamedyarov, Shakhriyar",2567,2757,2007.08.18,,0-1,D79
47,"Anand, Viswanathan","Mamedyarov, Shakhriyar",2768,2801,2018.08.15,tourn (rapid),1/2-1/2,B13
48,"Mamedyarov, Shakhriyar","Aronian, Levon",2760,2739,2008.01.20,,1/2-1/2,D47
49,"Leko, Peter","Mamedyarov, Shakhriyar",2737,2761,2013.07.04,tourn,1/2-1/2,B90
50,"Mamedyarov, Shakhriyar","Wang, Hao",2765,2710,2014.12.12,swiss (rapid),1/2-1/2,D11
51,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2757,2770,2014.11.13,tourn (blitz),1-0,D20
52,"Le, Quang Liem","Mamedyarov, Shakhriyar",2709,2782,2021.08.01,,1-0,
53,"Mamedyarov, Shakhriyar","Nyback, Tomi",2646,2551,2005.06.25,swiss,1-0,E15
54,"Mamedyarov, Shakhriyar","Nepomniachtchi, Ian",2763,2720,2010.11.16,tourn (blitz),1-0,D76
55,"Mamedyarov, Shakhriyar","Rej, T.",2595,2242,2003.10.23,,1-0,D45
56,"Karjakin, Sergey","Mamedyarov, Shakhriyar",2743,2767,2021.12.19,rapid,1-0,C53
57,"Mamedyarov, Shakhriyar","Svidler, Peter",2782,2714,2021.08.14,blitz,1-0,
58,"So, Wesley","Mamedyarov, Shakhriyar",2788,2756,2015.04.23,,1/2-1/2,D17
59,"Mamedyarov, Shakhriyar","Matlakov, Maxim",2804,2718,2018.01.15,,1/2-1/2,D45
60,"Mamedyarov, Shakhriyar","Grischuk, Alexander",2719,2736,2009.11.17,tourn (blitz),1-0,B18
61,"Mamedyarov, Shakhriyar","Aronian, Levon",2782,2782,2021.08.03,,0-1,
62,"Mamedyarov, Shakhriyar","Sadvakasov, Darmen",2728,2596,2006.12.20,rapid,1/2-1/2,E19
63,"Le, Quang Liem","Mamedyarov, Shakhriyar",2737,2799,2017.12.12,blitz,1/2-1/2,E04
64,"Anand, Viswanathan","Mamedyarov, Shakhriyar",2801,2752,2007.11.21,,1-0,A42
65,"Mamedyarov, Shakhriyar","Ivanchuk, Vassily",2820,2710,2018.10.04,team-swiss,1/2-1/2,E12
66,"Mamedyarov, Shakhriyar","Gelfand, Boris",2760,2737,2008.03.27,,1-0,D47
67,"Matinian, Nikita","Mamedyarov, Shakhriyar",2470,2770,2021.03.06,,1-0,A05
68,"Mamedyarov, Shakhriyar","Vidit, Santosh Gujrathi",2799,2715,2017.12.30,blitz,1/2-1/2,D38
69,"Jobava, Baadur","Mamedyarov, Shakhriyar",2717,2764,2014.11.02,tourn,1/2-1/2,A70
70,"Carlsen, Magnus","Mamedyarov, Shakhriyar",2882,2764,2019.08.12,rapid,1/2-1/2,D06
71,"Mamedyarov, Shakhriyar","Ostrovskiy, Andrey",2804,2448,2018.02.07,,0-1,C54
72,"Mamedyarov, Shakhriyar","Mirzoev, Azer",2748,2510,2016.05.12,swiss,1/2-1/2,D46
73,"Svidler, Peter","Mamedyarov, Shakhriyar",2762,2750,2016.06.18,,0-1,A26
74,"Mamedyarov, Shakhriyar","Andreikin, Dmitry",2764,2722,2014.10.04,tourn,1/2-1/2,D45
75,"Thorhallsson, Throstur","Mamedyarov, Shakhriyar",2455,2709,2006.03.07,blitz,1-0,B03
76,"Nisipeanu, Liviu Dieter","Mamedyarov, Shakhriyar",2683,2743,2015.11.22,team-swiss,0-1,C54
77,"Mamedyarov, Shakhriyar","Cheparinov, Ivan",2753,2678,2013.06.07,swiss (rapid),1/2-1/2,D85
78,"Mamedyarov, Shakhriyar","Gelfand, Boris",2757,2759,2014.11.14,blitz,1/2-1/2,E60
79,"Bartel, Mateusz","Mamedyarov, Shakhriyar",2409,2493,2001.09.06,,0-1,C42
80,"Mamedyarov, Shakhriyar","Drygalov, Andrey",2770,2500,2021.04.06,,0-1,B22
81,"Mamedyarov, Shakhriyar","Karjakin, Sergey",2764,2750,2019.08.14,blitz,1-0,C26
82,"Shankland, Sam","Mamedyarov, Shakhriyar",2709,2782,2021.08.15,blitz,1-0,
83,"Yuan, Qingyu","Mamedyarov, Shakhriyar",2373,2764,2020.06.23,,0-1,D06
