,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Duda, Jan Krzysztof","Nakamura, Hikaru",2730,2745,2019.12.04,,1/2-1/2,C67,2.4
1,"Nakamura, Hikaru","Pentyala, Harikrishna",,,2000.10.14,,1/2-1/2,C17,4.4
2,"Caruana, Fabiano","Nakamura, Hikaru",2811,2781,2018.02.03,,0-1,A47,4
3,"Nakamura, Hikaru","So, W.",2736,2765,2020.01.06,,0-1,C26,1
4,"Demchenko, Anton","Nakamura, Hikaru",2655,2745,2019.10.12,swiss,1/2-1/2,D02,3.8
5,"Nakamura, Hikaru","Steven C, Zierk",2736,2499,2020.10.20,,1-0,B22,5
6,"Nakamura, Hikaru","Artemiev, Vladislav",2736,2709,2021.03.02,,0-1,C77,10
7,"Nakamura, Hikaru","Comas Fabrego, Lluis",2364,2508,2001.01.30,,1/2-1/2,B47,10
8,"Nakamura, Hikaru","Kramnik, Vladimir",2774,2785,2011.03.24,tourn (rapid),0-1,D01,11
9,"Nakamura, Hikaru","Bu, Xiangzhi",2670,2691,2008.01.22,match,1-0,D94,1
10,"Nakamura, Hikaru","Oluto Adu, Oladapo",2204,2254,1999.12.27,,1-0,B54,3
11,"Caruana, Fabiano","Nakamura, Hikaru",2811,2776,2015.02.14,,0-1,B90,1
12,"Morozevich, Alexander","Nakamura, Hikaru",2769,2775,2012.06.07,tourn (blitz),1/2-1/2,A10,2
13,"Topalov, Veselin","Nakamura, Hikaru",2771,2767,2013.04.23,tourn,1-0,C87,5
14,"Onischuk, Alexander","Nakamura, Hikaru",2699,2733,2010.05.24,,1/2-1/2,D85,3
15,"Le Tuan, Minh","Nakamura, Hikaru",2514,2736,2021.07.13,,1/2-1/2,A80,?
16,"Svidler, Peter","Nakamura, Hikaru",2694,2736,2021.11.12,,1/2-1/2,C03,1.24
17,"Sarana, Alexey","Nakamura, Hikaru",2649,2736,2021.03.02,,1/2-1/2,E32,9
18,"Aronian, Levon","Nakamura, Hikaru",2815,2760,2012.12.01,,0-1,A31,1
19,"Pelletier, Yannick","Nakamura, Hikaru",2541,2793,2017.04.12,match,0-1,D37,2
20,"Krush, Irina","Nakamura, Hikaru",2380,2428,2001.06.22,,1-0,E94,5
21,"Karas, Marek","Nakamura, Hikaru",2196,2736,2021.03.30,,0-1,B06,1
22,"Nakamura, Hikaru","De Firmian, Nick",2520,2537,2003.01.11,,1/2-1/2,E44,3
23,"Fridman, Daniel","Nakamura, Hikaru",2594,2601,2004.07.04,,0-1,D76,6
24,"Nakamura, Hikaru","Abdrlauf, Elham",2736,2334,2021.11.02,,1-0,A45,9
25,"Nakamura, Hikaru","Gelfand, Boris",2786,2777,2013.12.12,,1/2-1/2,D05,3
26,"Nakamura, Hikaru","Carlsen, Magnus",2829,2881,2020.06.20,,1/2-1/2,,1.3
27,"Volokitin, Andrei","Nakamura, Hikaru",2671,2660,2005.07.18,,1/2-1/2,C80,2
28,"Nakamura, Hikaru","Raznikov, Danny",2783,2486,2013.10.23,team-swiss,1/2-1/2,C26,4.1
29,"Bu, Xiangzhi","Nakamura, Hikaru",2695,2733,2010.10.26,,1/2-1/2,A88,6
30,"Nakamura, Hikaru","Bu, Xiangzhi",2763,2712,2018.10.05,team,1/2-1/2,D17,11.1
