,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Volokitin, Andrei","Radjabov, Teimour",2662,2728,2006.07.30,swiss,1/2-1/2,B33,6
1,"Radjabov, Teimour","Nakamura, Hikaru",2726,2764,2014.10.14,tourn,1/2-1/2,E63,11
2,"Carlsen, Magnus","Radjabov, Teimour",2850,2738,2015.10.11,swiss (rapid),1-0,A48,10
3,"Radjabov, Teimour","Ivanisevic, Ivan",2763,2604,2021.11.13,,1/2-1/2,D51,2.2
4,"Radjabov, Teimour","Belov, Vladimir",2438,2334,2000.01.13,match,1-0,A30,2.1
5,"Svidler, Peter","Radjabov, Teimour",2746,2733,2013.08.17,k.o.,1-0,E71,3.1
6,"Van Wely, Loek","Radjabov, Teimour",2680,2746,2007.07.31,,0-1,E97,7
7,"Radjabov, Teimour","Morozevich, Alexander",2793,2748,2012.12.16,tourn (blitz),1-0,D35,7
8,"Radjabov, Teimour","Ivanchuk, Vassily",2599,2717,2002.04.05,k.o. (rapid),1-0,A11,3.5
9,"Radjabov, Teimour","Artemiev, Vladislav",2763,2699,2021.09.25,,1/2-1/2,,1.1
10,"Radjabov, Teimour","Harikrishna, Pentala",2733,2672,2010.01.07,team-tourn,1/2-1/2,D17,3.2
11,"Ivanchuk, Vassily","Radjabov, Teimour",2731,2713,2013.12.16,tourn (blitz),1-0,A80,21
12,"Radjabov, Teimour","Jakovenko, Dmitry",2735,2720,2008.01.07,k.o. (rapid),1-0,C69,3.1
13,"Mamedov, Rauf","Radjabov, Teimour",,,1997.??.??,,1/2-1/2,C06,2
14,"Radjabov, Teimour","Izoria, Zviad",2670,2573,2004.05.21,swiss,1/2-1/2,E16,6
15,"Bareev, Evgeny","Radjabov, Teimour",2726,2618,2002.09.09,match (rapid),0-1,A26,5
16,"Radjabov, Teimour","Korobov, Anton",2618,2534,2002.09.27,team-swiss,1-0,A52,6.5
17,"Ivanchuk, Vassily","Radjabov, Teimour",2776,2744,2011.06.11,tourn,1-0,E73,1
18,"Radjabov, Teimour","Rapport, Richard",2723,2676,2013.10.23,team-swiss,1/2-1/2,D02,4.2
19,"Svidler, Peter","Radjabov, Teimour",2688,2610,2002.06.01,k.o. (rapid),0-1,C03,1.2
20,"Conquest, Stuart C","Radjabov, Teimour",,,2000.10.06,swiss,1-0,A13,6
