,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Erdos, Viktor","Rapport, Richard",2640,2621,2013.03.24,team-tourn,1/2-1/2,A35,11.1
1,"Rapport, Richard","Topalov, Veselin",2759,2735,2020.12.08,,1-0,A04,12.4
2,"Carlsen, Magnus","Rapport, Richard",2865,2763,2022.01.21,,1-0,E04,6.1
3,"Rapport, Richard","Gasthofer, Alexander",2547,2456,2011.12.11,,1-0,D37,7.7
4,"Rapport, Richard","Marikova, Jana",2005,,2006.??.??,,1-0,B33,2.1
5,"Rapport, Richard","Asadli, Vugar",2763,2579,2021.12.20,rapid,1/2-1/2,B10,4.1
6,"Rapport, Richard","Fodor, Tamas Jr",2701,2462,2014.05.26,swiss,1/2-1/2,A28,4
7,"Rapport, Richard","Nikcevic, Nebojsa",2509,2387,2010.05.09,,0-1,D11,5
8,"Rapport, Richard","Perunovic, Milos",2534,2558,2010.08.24,team-tourn,1-0,D43,4
9,"Rapport, Richard","Nepomniachtchi, Ian",2735,2775,2019.07.13,,1-0,A04,1.3
10,"Shankland, Sam","Rapport, Richard",2709,2763,2021.08.11,blitz,0-1,,1.1
11,"Rapport, Richard","Sarana, Alexey",2763,2656,2021.11.10,,1/2-1/2,C41,1.38
12,"Rapport, Richard","Vidit, Santosh Gujrathi",2735,2707,2019.07.06,,1/2-1/2,A08,6.2
13,"Bunoust, Lucas","Rapport, Richard",1726,2654,2013.04.13,rapid,0-1,E80,2
14,"Deac, Bogdan Daniel","Rapport, Richard",2625,2763,2021.03.27,,1/2-1/2,,3.1
15,"Wei, Yi","Rapport, Richard",,,2016.12.23,,0-1,,6
16,"Karjakin, Sergey","Rapport, Richard",2743,2763,2022.01.23,,1/2-1/2,,8
17,"Atalik, Suat","Rapport, Richard",2550,2701,2014.07.08,swiss,1/2-1/2,A89,6
18,"Beradze, Irakli","Rapport, Richard",2242,2523,2010.10.29,,0-1,C53,10.8
19,"Rapport, Richard","Kanmazalp, Ogulcan",2676,2417,2013.10.26,,1-0,C49,7.4
20,"Rapport, Richard","Shankland, Samuel L",2731,2725,2019.01.13,tourn,1/2-1/2,A07,2
21,"Rapport, Richard","Sanal, Vahap",2754,2499,2021.12.29,blitz,1/2-1/2,,12
22,"Ruck, Tamas","Rapport, Richard",2343,2197,2008.04.27,team,0-1,B12,10
23,"Rapport, Richard","Venkatesh, M.R.",2716,2460,2015.01.30,swiss,1-0,A45,4
24,"Rapport, Richard","Hoecher, Michael",2646,1986,2013.03.28,swiss,1-0,D90,1
25,"Topalov, Veselin","Rapport, Richard",2735,2759,2020.12.05,,1/2-1/2,C67,5.4
26,"Rapport, Richard","Idani, Pouya",2681,2496,2014.03.08,swiss,1-0,D05,6
27,"Rapport, Richard","Pap, G.",2444,2478,2010.02.06,,1/2-1/2,D38,1
28,"Fedorovsky, Michael","Rapport, Richard",2451,2649,2016.02.20,team-tourn,1/2-1/2,A81,8.3
29,"Rapport, Richard","Krasenkow, Michal",2752,2610,2021.10.16,team,1/2-1/2,D97,13.3
30,"Rapport, Richard","Dreev, Aleksey",2750,2621,2021.12.27,rapid,0-1,,7
31,"Szelenyi, Norbert","Rapport, Richard",2311,2122,2007.08.03,swiss,1-0,A30,4
32,"Rapport, Richard","Navara, David",2671,2724,2015.07.28,swiss,0-1,D47,8
33,"Le, Quang Liem","Rapport, Richard",2737,2707,2017.12.30,blitz,1-0,A40,14.11
34,"Szakolczai, Peter","Rapport, Richard",2284,2122,2007.08.02,swiss,0-1,B50,3
35,"Vegh, Endre","Rapport, Richard",2303,2197,2007.12.03,,1/2-1/2,A65,3
36,"Rapport, Richard","Nevednichy, Vladislav",2680,2590,2013.11.01,rapid,1/2-1/2,B20,2.5
37,"Rapport, Richard","Sadhwani, Raunak",2700,2321,2018.01.02,swiss,1-0,D02,1
38,"Rapport, Richard","Ponomariov, Ruslan",2707,2694,2017.12.30,blitz,1-0,A45,15.25
39,"Rapport, Richard","Anton Guijarro, David",,,2016.01.26,,0-1,A00,7.4
40,"Rapport, Richard","Bhend, Edwin",2716,2188,2015.01.01,,1-0,D02,1.2
41,"Shankland, Samuel L","Rapport, Richard",2731,2735,2019.02.23,match (blitz),1-0,C44,4.5
42,"Rapport, Richard","Nihal, Sarin",2763,2650,2021.12.02,,0-1,A45,2.11
43,"Gdanski, Jacek","Rapport, Richard",2506,2687,2013.12.13,rapid,0-1,B06,4.2
44,"Rapport, Richard","Rosta, Sandor",2012,2217,2007.04.29,team,1/2-1/2,C11,9
45,"Wegerer, Josef","Rapport, Richard",2042,2197,2007.12.30,swiss,0-1,A12,6
46,"Grib, Roman","Rapport, Richard",2250,2523,2010.10.27,,1-0,B25,8.5
47,"Rapport, Richard","Melkumyan, Hrant",2704,2655,2014.08.22,swiss,1/2-1/2,A16,7
48,"Rapport, Richard","Shengelia, David",2676,2556,2013.10.20,,1-0,E30,1.9
49,"Yu, Yangyi","Rapport, Richard",2752,2747,2019.08.13,blitz,1/2-1/2,C01,3.3
50,"Rapport, Richard","Nihal, Sarin",2763,2650,2021.12.02,,0-1,C48,2.32
51,"Rapport, Richard","Chu, Wei Chao",2717,2331,2016.12.02,team-tourn,1-0,B20,19.3
52,"Rapport, Richard","Kryvoruchko, Yuriy",2545,2652,2011.07.04,,1/2-1/2,E12,2.4
53,"Lenier, Dominguez","Rapport, Richard",2760,2735,2019.08.13,,1/2-1/2,C10,5
54,"Kahn, E.","Rapport, Richard",2317,2275,2008.07.10,,1/2-1/2,D20,6
55,"Radjabov, Teimour","Rapport, Richard",2723,2676,2013.10.23,team-swiss,1/2-1/2,D02,4.2
56,"Rapport, Richard",Nihal Sarin,2719,2556,2018.08.15,swiss,1-0,B23,9
57,"Rapport, Richard","Karjakin, Sergey",2702,2785,2017.01.15,tourn,1/2-1/2,A01,2
58,"Sarana, Alexey","Rapport, Richard",2656,2763,2021.11.10,,1-0,A45,1.41
59,"Kopylov, Michael","Rapport, Richard",2424,2686,2017.12.10,team-tourn,0-1,A43,6.1
60,"Lenier, Dominguez","Rapport, Richard",2762,2752,2019.11.15,,1/2-1/2,C55,6
61,"Horvath, Adam","Rapport, Richard",2536,2676,2014.03.02,team-tourn,0-1,C01,6
62,"Dubov, Daniil","Rapport, Richard",2627,2709,2015.03.28,,1/2-1/2,B07,2.2
63,"Antoniewski, Rafal","Rapport, Richard",2550,2687,2013.12.06,team-tourn,0-1,B06,1.2
64,"Rapport, Richard","Ipatov, Alexander",2621,2587,2013.01.23,,1-0,D35,10
65,"Rapport, Richard","Mista, Aleksander",2704,2613,2014.08.30,team-tourn,1-0,A01,1.5
66,"Rapport, Richard","Ni, Hua",2747,2668,2019.08.21,,1/2-1/2,A13,13.3
67,"Rapport, Richard","Eltigani, Omar",2323,2083,2009.02.08,,1/2-1/2,D52,7
68,"Rapport, Richard","Mamedov, Rauf",2763,2656,2021.12.23,blitz,0-1,B30,12.3
69,"Rapport, Richard","Ma, Qun",2747,2629,2019.08.23,,1-0,D00,15.4
70,"Rapport, Richard","Ragger, Markus",2621,2655,2012.10.06,tourn (rapid),1/2-1/2,C55,9
71,"Rapport, Richard","Smeets, Jan",2621,2615,2013.01.20,,0-1,D47,8
72,"Metz, Hartmut","Rapport, Richard",2334,2720,2016.03.25,swiss,1/2-1/2,C18,2.3
73,"Rapport, Richard","Bauer, Christian",2687,2630,2014.03.23,team-tourn,1-0,A11,11.2
74,"Papp, Petra","Rapport, Richard",2067,2225,2008.05.28,swiss,0-1,B67,7
75,"Caruana, Fabiano","Rapport, Richard",2721,2531,2011.02.01,swiss,1-0,C68,8
76,"Shibanov, Alexander","Rapport, Richard",2596,2605,2012.08.12,,0-1,D12,10.1
77,"Jauk, Wilhelm","Rapport, Richard",2148,2696,2017.04.13,,0-1,A40,1.4
78,"Volokitin, Andrei","Rapport, Richard",2695,2543,2012.01.22,team-tourn,1/2-1/2,C83,3.1
79,"Rapport, Richard","Ragger, Markus",2752,2697,2016.09.03,,1/2-1/2,D45,2.23
80,"Rapport, Richard","Sax, G.",2552,2513,2011.05.26,,1/2-1/2,E15,7
81,"Rapport, Richard","Yu, Yangyi",2736,2739,2019.05.17,blitz,1-0,A01,12.2
82,"Rapport, Richard","Nepomniachtchi, Ian",2693,2717,2013.07.25,,1/2-1/2,B51,4
83,"Rapport, Richard","Ponomariov, Ruslan",2523,2749,2010.09.08,team-tourn,0-1,A31,5
84,"Rapport, Richard","Howell, David W L",2686,2698,2017.11.06,,1-0,C53,9.4
85,"Gyimesi, Zoltan","Rapport, Richard",2595,2523,2011.04.17,team-tourn,1-0,A43,9
86,"Rapport, Richard","Shankland, Samuel L",2735,2731,2019.02.23,match (blitz),1/2-1/2,D05,9.5
87,"Van Foreest, Jorden","Rapport, Richard",2632,2752,2019.12.07,team,1/2-1/2,B15,3.3
88,"Ragger, Markus","Rapport, Richard",2662,2534,2011.11.30,match,1-0,D94,2
89,"Ragger, Markus","Rapport, Richard",2668,2676,2014.02.23,,1/2-1/2,A33,10
90,"Rapport, Richard","Duda, Jan Krzysztof",2738,2731,2019.03.06,,0-1,B08,1.2
91,"Ikeda, Junta","Rapport, Richard",2402,2701,2014.07.25,,0-1,A89,6.6
92,"Sliwicka, Alicja","Rapport, Richard",1772,2621,2012.12.15,rapid,0-1,C01,1.23
93,"Caruana, Fabiano","Rapport, Richard",2792,2763,2021.12.23,,1-0,A40,1
94,"Sarana, Alexey","Rapport, Richard",2656,2763,2021.11.10,,1-0,B01,1.33
95,"Naroditsky, Daniel","Rapport, Richard",2587,2704,2014.08.19,swiss,1/2-1/2,D27,4
96,"Cheparinov, Ivan","Rapport, Richard",2629,2739,2019.05.15,rapid,1/2-1/2,,7.5
97,"Bacrot, Etienne","Rapport, Richard",2706,2559,2012.04.08,,1-0,D45,7.2
98,"Navara, David","Rapport, Richard",2697,2763,2021.12.23,blitz,0-1,A40,14.3
99,"Klocker, Benedikt","Rapport, Richard",2143,2401,2009.07.19,swiss,1-0,B77,9
100,"Rapport, Richard","Najer, Evgeniy",2675,2694,2017.09.12,k.o.,1/2-1/2,D10,4.1
101,"Rapport, Richard","Vladimirovich Rublevsk, Sergei",2621,2688,2012.12.16,rapid,0-1,D10,10.2
102,"Rapport, Richard","Tibenszkyne Kiss, Emese",2323,2139,2008.10.26,,1-0,E11,1
103,"Savic, Miodrag R","Rapport, Richard",2522,2701,2014.07.07,swiss,0-1,B22,4
104,"Rapport, Richard","Ragger, Markus",2687,2646,2013.12.15,tourn,1/2-1/2,C92,8
105,"Rapport, Richard","Nepomniachtchi, Ian",2763,2792,2021.06.18,rapid,1/2-1/2,A05,3.4
106,"Rapport, Richard","turner, matthew j",2736,2524,2019.05.04,,1-0,A05,9.31
107,"Akobian, Varuzhan","Rapport, Richard",2622,2710,2015.04.21,team-tourn,1/2-1/2,D07,3.3
108,"Rapport, Richard","Yang, Wenyi",2735,2586,2019.07.25,,1/2-1/2,D78,9.1
109,"Taddei, Benoit","Rapport, Richard",2374,2674,2013.06.02,,0-1,C18,4.5
110,"Rapport, Richard",Praggnanandhaa R,2763,2612,2022.01.20,,0-1,,5
111,"Caruana, Fabiano","Rapport, Richard",2792,2763,2022.01.26,,0-1,A19,10.5
112,"Rapport, Richard","Arnold, Marc Tyler",2545,2445,2011.08.05,swiss,1-0,D39,8
113,"Rapport, Richard","Ivanisevic, Ivan",2534,2611,2010.08.23,team-tourn,0-1,E92,3
114,"Caruana, Fabiano","Rapport, Richard",2806,2763,2021.08.13,blitz,0-1,,7.2
115,"Rapport, Richard","Brunello, Sabino",2577,2592,2012.07.03,team-swiss,1/2-1/2,A09,5.7
116,"Rapport, Richard","Vajda, Levente",2444,2519,2010.02.24,tourn,1/2-1/2,E94,3
117,"Rapport, Richard","Bogdanovich, Stanislav",2709,2581,2015.03.30,,1-0,A00,4.29
118,"Rapport, Richard","Petkov, Vladimir",2680,2570,2013.11.01,tourn (rapid),1-0,B20,1
119,"Karjakin, Sergey","Rapport, Richard",2743,2763,2021.12.18,,1-0,,1
120,"Chao, Qi","Rapport, Richard",2735,2694,2017.09.09,,1/2-1/2,E41,3
121,"Rapport, Richard","Lamard, Guillaume",2005,,2006.09.10,swiss,1-0,B83,1
122,"Rapport, Richard","Caruana, Fabiano",2763,2792,2021.12.19,rapid,0-1,C42,3.3
123,"Rapport, Richard","Dobias, Richard",2440,2270,2009.10.04,,1-0,D37,1
124,"Shankland, Samuel L","Rapport, Richard",2731,2735,2019.02.24,match (blitz),0-1,A37,18.5
125,"Eljanov, Pavel","Rapport, Richard",2723,2671,2015.07.24,,1/2-1/2,A95,5
126,"Agopov, Mikael","Rapport, Richard",2452,2693,2015.11.14,,0-1,B28,2.8
127,"Matveyevich Golod, Vitali","Rapport, Richard",2565,2621,2013.02.23,,1/2-1/2,E97,9
128,"Chao2, Li","Rapport, Richard",2745,2675,2017.09.11,,1/2-1/2,E12,3.4
129,"Lenic, Luka","Rapport, Richard",2603,,2010.05.30,,1/2-1/2,B55,2.1
130,"Michalik, Peter","Rapport, Richard",2508,2621,2012.10.06,tourn (rapid),1-0,E70,8
131,"Grischuk, Alexander","Rapport, Richard",2750,2698,2017.08.03,k.o. (blitz),1-0,B06,1.20
132,"Rapport, Richard","Laznicka, Viktor",2713,2675,2014.10.05,,1-0,B20,2
133,"Rapport, Richard","Kulkarni, Rakesh",2671,2368,2015.08.23,swiss,1-0,A11,1
134,"Fodor, Tamas Jr","Rapport, Richard",2417,2444,2010.03.02,tourn,0-1,D45,8
135,"Rapport, Richard","Straubinger, Daniel",2225,2111,2008.05.27,swiss,1-0,D37,6
136,"Cuenca Jimenez, Jose Fernando","Rapport, Richard",2529,2752,2016.10.01,team-tourn,0-1,E01,6.2
137,"Van Wely, Loek","Rapport, Richard",2689,2674,2013.05.22,,1/2-1/2,D11,1
138,"Rapport, Richard","Papakonstantinou, Dimitrios",2005,,2006.??.??,,1-0,B81,8.2
139,"Fedorchuk, Sergey A","Rapport, Richard",2665,2704,2014.09.02,team-tourn,1-0,C41,4.4
140,"Rapport, Richard","Wei, Yi",2763,2732,2021.05.01,blitz,1-0,A10,4.2
141,"Rapport, Richard","Daianu, Cristian Clement",2523,2280,2010.09.05,team-tourn,1-0,A16,2.21
142,"Rapport, Richard","Fridman, Daniel",2735,2644,2019.07.17,,1/2-1/2,,4.1
143,"Miroshnichenko, Yuri","Rapport, Richard",2690,2440,2009.10.07,,1-0,D12,4
144,"Rapport, Richard","Haszon, David",2440,2069,2009.10.27,team-swiss,1-0,D06,2.3
145,"Rapport, Richard","Majeric, Zoran",2275,2312,2008.08.21,tourn,1-0,A41,8
146,"Moroni, Luca Jr","Rapport, Richard",2575,2763,2021.12.26,rapid,0-1,A91,1.10
147,"Ding, Liren","Rapport, Richard",2680,2601,2012.08.15,,1/2-1/2,D17,13.1
148,"Oleksienko, Mikhalio","Rapport, Richard",2543,2401,2009.08.07,tourn,1/2-1/2,B12,7
149,"Rapport, Richard","Ragger, Markus",2534,2662,2011.12.03,match,1/2-1/2,D45,5
150,"Rapport, Richard","Ter, Marcell",2012,2071,2006.11.26,team,1-0,C77,2
151,"Nakamura, Hikaru","Rapport, Richard",2736,2763,2021.08.15,blitz,1/2-1/2,,19.1
152,"Rapport, Richard","Lu, Shanglei",2735,2619,2019.07.26,,1/2-1/2,E06,10.6
153,"Fressinet, Laurent","Rapport, Richard",2662,2707,2017.12.27,swiss (rapid),1/2-1/2,B47,6.5
154,"Zujev, Oleg","Rapport, Richard",2270,2687,2013.12.14,rapid,0-1,B06,3.11
155,"Annaberdiev, Meilis","Rapport, Richard",2459,2696,2017.04.16,swiss,1/2-1/2,A46,7
156,"Khismatullin, Denis Rimovich","Rapport, Richard",2632,2707,2017.12.29,swiss (blitz),0-1,B08,10
157,"Rapport, Richard","Dubov, Daniil",2687,2629,2013.12.13,rapid,0-1,A01,11.2
158,"Rapport, Richard","Artemiev, Vladislav",2763,2709,2021.03.27,,1/2-1/2,,2.1
159,"Parligras, Mircea Emilian","Rapport, Richard",2650,2543,2012.01.31,match,0-1,E90,8
160,"Ragger, Markus","Rapport, Richard",2655,2621,2013.03.22,,1/2-1/2,E94,9.1
161,"Rapport, Richard","Buckels, Valentin",2752,2469,2019.12.08,,1-0,,4.3
162,"Raja, R.","Rapport, Richard",2427,2700,2018.01.05,,1/2-1/2,B28,?
163,"Tica, Sven","Rapport, Richard",2332,2698,2017.05.21,,0-1,D30,4.24
164,"Michalik, Peter","Rapport, Richard",2568,2763,2021.12.30,blitz,1-0,B72,13.20
165,"Gelfand, Boris","Rapport, Richard",2655,2738,2019.03.13,,1/2-1/2,A50,7.2
166,"Rapport, Richard","Balogh, Csaba",2531,2604,2011.01.06,match,0-1,D19,3
167,"Rapport, Richard","Ding, Liren",2759,2791,2020.12.07,,1/2-1/2,A22,8.2
168,"Rapport, Richard","Ding, Liren",2726,2809,2019.04.23,tourn,1/2-1/2,C47,6
169,"Rapport, Richard","Sarana, Alexey",2763,2656,2021.11.10,,1-0,B00,1.44
170,"Rapport, Richard","Bu, Xiangzhi",2600,2688,2017.12.30,blitz,*,,20.11
171,"Rapport, Richard","Prohaszka, Peter",2444,2501,2010.02.26,,1/2-1/2,D11,5.1
172,"Shankland, Samuel L","Rapport, Richard",2731,2735,2019.02.22,match (rapid),0-1,C10,10.5
173,"Sarana, Alexey","Rapport, Richard",2656,2763,2021.11.10,,1-0,E61,1.18
174,"Rapport, Richard","Berkes, Ferenc",2700,2662,2018.01.06,swiss,1/2-1/2,E16,7
175,"Garcia Jimenez, Francisco Javier","Rapport, Richard",2274,2531,2011.01.25,swiss,0-1,B26,1
176,"Kjartansson, Gudmundur","Rapport, Richard",2446,2720,2016.03.10,tourn,0-1,D36,4
