,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Svidler, Peter","So, Wesley",2751,2771,2016.08.12,,1/2-1/2,A20,7
1,"Carlsen, Magnus","So, Wesley",2862,2770,2021.02.14,rapid,1/2-1/2,C50,3.22
2,"So, Wesley","Wan, Yunguo",2653,2456,2012.05.13,swiss,1-0,E99,9
3,"Artemiev, Vladislav","So, Wesley",2704,2772,2021.08.06,,1-0,,16.1
4,"So, Wesley","Korobov, Anton",2760,2670,2019.11.10,blitz,1-0,A13,14.2
5,"Mamedyarov, Shakhriyar","So, Wesley",2764,2776,2019.08.23,,1/2-1/2,D20,6.5
6,"So, Wesley","Royal, Shreyas",2765,1892,2019.01.08,team-swiss (rapid),1-0,E90,1
7,"Dominguez Perez, Leinier","So, Wesley",2739,2788,2017.11.12,match (blitz),1/2-1/2,B12,10.3
8,"So, Wesley","Wei, Yi",2808,2706,2017.01.28,tourn,1/2-1/2,D41,12
9,"Mamedyarov, Shakhriyar","So, Wesley",,,2018.06.05,,1/2-1/2,E06,7
10,"Sevian, Samuel","So, Wesley",2693,2778,2022.04.29,blitz,0-1,C50,8.3
11,"Vachier Lagrave, Maxime","So, Wesley",2778,2770,2020.06.06,,1/2-1/2,E32,1.2
12,"So, Wesley","Hendriks, Willy",2515,2415,2011.07.25,,1-0,B09,6
13,"Nakamura, Hikaru","So, Wesley",2736,2765,2020.01.06,,0-1,C26,1
14,"Wan, Yunguo","So, Wesley",2471,2577,2008.09.15,swiss,1/2-1/2,B33,3
15,"So, Wesley","Daniel Ruiz Castillo, Joshua",2810,2377,2017.09.04,k.o.,1/2-1/2,E01,1.2
16,"Laznicka, Viktor","So, Wesley",2681,2667,2011.06.23,tourn,1-0,E32,2
17,"So, Wesley","Anand, Viswanathan",2765,2773,2018.11.13,tourn (blitz),1/2-1/2,C83,1
18,"So, Wesley","Nakamura, Hikaru",2770,2787,2016.06.11,tourn (blitz),0-1,C65,8
19,"So, Wesley","Vidit, Santosh Gujrathi",2780,2718,2018.10.09,,1-0,C77,?
20,"So, Wesley","Jobava, Baadur",2810,2687,2017.09.14,k.o.,1-0,A14,4.3
21,"Carlsen, Magnus","So, Wesley",2832,2815,2017.11.18,k.o. (blitz),1-0,D35,3.32
22,"So, Wesley","Vachier Lagrave, Maxime",2770,2778,2020.09.24,,0-1,C65,2.6
23,"Ivanchuk, Vassily","So, Wesley",2757,2789,2017.06.30,tourn (blitz),1/2-1/2,D56,9
24,"So, Wesley","Nihal, Sarin",2808,2127,2018.11.11,rapid,1-0,,9.1
25,"So, Wesley","Kramnik, Vladimir",,,2016.06.12,tourn (rapid),1-0,,18
26,"Van Wely, Loek","So, Wesley",2640,2773,2016.01.26,tourn,1/2-1/2,D38,9
27,"So, Wesley","Cekro, Ekrem",2610,2419,2008.11.20,,1-0,B06,7
28,"So, Wesley","Adianto, Utut",2516,2583,2007.09.24,,1/2-1/2,C24,6.10
29,"Mamedyarov, Shakhriyar","So, Wesley",2767,2767,2019.10.02,,0-1,B02,1.21
30,"Kramnik, Vladimir","So, Wesley",2800,2799,2018.03.24,tourn,1/2-1/2,D31,12
31,"Shankland, Sam","So, Wesley",2714,2778,2021.10.14,,1/2-1/2,C67,8.3
32,"Giri, Anish","So, Wesley",2785,2815,2017.05.25,k.o. (blitz),1-0,E07,1.6
33,"Vachier Lagrave, Maxime","So, Wesley",2860,2741,2020.06.08,,1/2-1/2,,5.5
34,"Raptis, Nick","So, Wesley",2262,2808,2017.02.01,,0-1,A07,4
35,"So, Wesley","Mamedyarov, Shakhriyar",2767,2767,2019.10.02,,1-0,E67,1.2
36,"Caruana, Fabiano","So, Wesley",2786,2776,2022.05.23,blitz,1-0,D27,17.5
37,"So, Wesley","Fressinet, Laurent",2770,2687,2016.06.11,tourn (blitz),1/2-1/2,D00,6
38,"Bitoon, Richard","So, Wesley",2491,2658,2011.07.22,tourn,1/2-1/2,B53,12
39,"So, Wesley","Eljanov, Pavel",2794,2741,2016.10.09,swiss,1/2-1/2,A34,9
40,"Lenderman, Aleksandr","So, Wesley",2618,2773,2016.04.25,,1/2-1/2,A10,11.3
41,"A Kho, Jingle","So, Wesley",,2667,2011.03.19,,0-1,A04,?
42,"Morshedi, Ali","So, Wesley",2266,2762,2014.12.26,swiss,0-1,B85,1
43,"Grischuk, Alexander","So, Wesley",2750,2759,2019.06.03,blitz,0-1,,8.3
44,"So, Wesley","Koneru, Humpy",2772,2586,2021.08.02,,1-0,,11.4
45,"So, Wesley","Aronian, Levon",2760,2772,2019.11.25,blitz,1/2-1/2,A07,3.2
46,"So, Wesley","Nakamura, Hikaru",2778,2769,2018.06.15,blitz,0-1,D56,?
47,"So, Wesley","Wei, Yi",2772,2737,2019.05.12,blitz,1/2-1/2,,24.4
48,"Robson, Ray","So, Wesley",,,2015.04.07,,1-0,C67,6
49,"Navara, David","So, Wesley",2738,2765,2019.02.22,match (rapid),1-0,A21,11.3
50,"So, Wesley","Navara, David",2673,2708,2011.01.22,tourn,1-0,D76,7
51,"So, Wesley","Bao, Khoa",2330,2093,2006.08.23,,1-0,B33,5
52,"Berkes, Ferenc","So, Wesley",2659,2779,2015.08.04,team-tourn,1/2-1/2,D43,1.6
53,"So, Wesley","Ardito, Andrew",2682,,2012.12.27,,1-0,B12,1
54,"So, Wesley","Antonio, Rogelio Jr",2658,2565,2011.07.17,tourn,1-0,E14,2
55,"Sjugirov, Sanan","So, Wesley",2358,2165,2005.07.26,swiss,1-0,B30,9
56,"So, Wesley","Karjakin, Sergey",2763,2748,2019.07.17,,1/2-1/2,,15.1
57,"Nepomniachtchi, Ian","So, Wesley",2789,2770,2021.02.08,rapid,1/2-1/2,D41,11.5
58,"So, Wesley","Duda, Jan Krzysztof",2770,2743,2021.02.09,rapid,1/2-1/2,C42,1.11
59,"So, Wesley","Vallejo Pons, Francisco",2731,2700,2014.05.09,,1-0,C67,2
60,"So, Wesley","Carlsen, Magnus",2765,2872,2020.01.26,,1/2-1/2,C47,13.1
61,"Caruana, Fabiano","So, Wesley",2805,2778,2015.06.28,,0-1,B90,2.3
62,"Adams, Michael","So, Wesley",2753,2706,2013.10.21,tourn,1/2-1/2,C67,2
63,"So, Wesley","Vachier Lagrave, Maxime",2780,2779,2018.08.14,blitz,1/2-1/2,A33,?
64,"Moreno Garcia, Alfonso","So, Wesley",1988,2411,2006.10.20,,0-1,B33,1
65,"So, Wesley","Nakamura, Hikaru",2812,2785,2017.06.25,tourn (rapid),1-0,A13,12
66,"Babu M R, Lalith","So, Wesley",2547,2765,2019.01.30,,1/2-1/2,,9.8
67,"Grischuk, Alexander","So, Wesley",2766,2778,2018.06.13,blitz,0-1,C65,5
68,"Nakamura, Hikaru","So, Wesley",2777,2780,2018.12.02,,0-1,E14,4.1
69,"So, Wesley","Caruana, Fabiano",2778,2800,2021.10.09,,1/2-1/2,,4
70,"Artemiev, Vladislav","So, Wesley",2704,2772,2021.08.05,,1/2-1/2,,15.1
71,"Ivanchuk, Vassily","So, Wesley",2753,2731,2014.05.17,tourn,1/2-1/2,C65,9
72,"So, Wesley","Karjakin, Sergey",2812,2781,2017.06.05,tourn (blitz),1-0,D02,2
73,"Nakamura, Hikaru","So, Wesley",2900,2816,2020.12.09,,0-1,,2.2
74,"Mamedyarov, Shakhriyar","So, Wesley",2767,2767,2019.10.02,,1/2-1/2,E21,1.11
75,"So, Wesley","Vallejo Pons, Francisco",2780,2707,2018.07.08,,1-0,D45,?
76,"Artemiev, Vladislav","So, Wesley",2731,2760,2019.11.08,rapid,1/2-1/2,D73,9.1
77,"So, Wesley","Carlsen, Magnus",2770,2863,2020.09.15,blitz,1/2-1/2,B51,3
78,"So, Wesley","Carlsen, Magnus",2770,2863,2020.05.26,,0-1,C65,1.21
79,"So, Wesley","Dang, Bich Ngoc",2577,2194,2008.08.28,,1-0,B33,3
80,"Giri, Anish","So, Wesley",2785,2815,2017.05.25,k.o. (blitz),1/2-1/2,D11,1.16
81,"Giri, Anish","So, Wesley",2764,2770,2020.11.23,swiss,1/2-1/2,A07,6.6
82,"So, Wesley","Aronian, Levon",2770,2792,2016.06.17,tourn (rapid),1/2-1/2,E32,4
83,"So, Wesley","Sevian, Samuel",2788,2531,2015.04.03,tourn,0-1,D46,3
84,"So, Wesley","Mamedyarov, Shakhriyar",2760,2772,2019.11.07,tourn (rapid),1-0,A22,4.1
85,"Gerzhoy, Leonid","So, Wesley",2459,2650,2012.07.27,,0-1,D85,8.1
86,"So, Wesley","Mamedyarov, Shakhriyar",2780,2801,2018.08.11,rapid,0-1,C46,?
87,"So, Wesley","Mas, Hafizulhelmi",2526,2382,2008.01.18,,1/2-1/2,B97,10
88,"So, Wesley","Wei, Yi",2780,2729,2018.07.29,,1-0,A13,1.5
89,"Vachier Lagrave, Maxime","So, Wesley",2796,2812,2017.06.05,tourn (blitz),1-0,C01,3
90,"Caruana, Fabiano","So, Wesley",2822,2780,2018.08.28,match (rapid),1-0,E20,2
91,"Giri, Anish","So, Wesley",2785,2815,2017.05.25,k.o. (blitz),1-0,D02,1.28
92,"So, Wesley","Fernandez, Daniel",2705,2396,2013.05.24,swiss,1-0,D15,2
93,"So, Wesley","Holt, Conrad",2808,2567,2017.01.11,,1-0,C11,1
94,"Carlsen, Magnus","So, Wesley",2847,2772,2021.07.11,,1-0,,14.1
95,"So, Wesley","Le, Quang Liem",2772,2709,2021.08.07,,1-0,,25.1
96,"Korley, Kassa","So, Wesley",2426,2755,2014.10.28,team-tourn,0-1,A11,10
97,"So, Wesley","Mamedyarov, Shakhriyar",2767,2767,2019.10.02,,1/2-1/2,E60,1.26
98,"So, Wesley","Bojkov, Dejan",2650,2556,2012.07.26,,1-0,D25,7
99,"Gonzales, Jayson","So, Wesley",2468,2627,2009.03.27,,0-1,D12,5
100,"Nakamura, Hikaru","So, Wesley",2787,2770,2016.06.12,tourn (blitz),1/2-1/2,D15,17
101,"Garma, Chito","So, Wesley",2346,2577,2008.07.01,tourn,1/2-1/2,B22,1
102,"Granda Zuniga, Julio E","So, Wesley",2648,2794,2016.10.04,swiss,0-1,A29,4
103,"Stefansson, Hannes","So, Wesley",2515,2652,2012.09.01,team-swiss,1/2-1/2,B92,5.1
104,"Topalov, Veselin","So, Wesley",2760,2794,2016.12.15,swiss,0-1,C54,6
105,"So, Wesley","Nakamura, Hikaru",2778,2736,2021.09.28,,0-1,C45,4.6
106,"Grischuk, Alexander","So, Wesley",2772,2754,2019.05.20,,1/2-1/2,,10.2
107,"So, Wesley","Durarbayli, Vasif",2765,2620,2019.03.13,team-swiss (rapid),1/2-1/2,C75,10
108,"Nakamura, Hikaru","So, Wesley",2745,2767,2020.02.21,,1-0,A78,4.19
109,"So, Wesley","Karjakin, Sergey",2763,2748,2019.07.17,,1-0,,16.1
110,"Lenderman, Aleksandr","So, Wesley",2589,2755,2014.10.11,swiss,0-1,D10,5
