,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening
0,"Polgar, Judit","Topalov, Veselin",2710,2813,2006.12.09,,1-0,B42
1,"Topalov, Veselin","Leko, Peter",2739,2713,2002.04.05,k.o. (rapid),1-0,B45
2,"Topalov, Veselin","Vallejo Pons, Francisco",2757,2686,2005.03.19,,1/2-1/2,D12
3,"Polgar, Judit","Topalov, Veselin",2710,2813,2006.10.23,tourn,1-0,B81
4,"Van Wely, Loek","Topalov, Veselin",2617,2735,2004.03.20,,1/2-1/2,A67
5,"Topalov, Veselin","Caruana, Fabiano",2761,2804,2016.06.12,tourn (blitz),0-1,A13
6,"Morozevich, Alexander","Topalov, Veselin",2723,2700,1999.06.30,,0-1,B80
7,"Topalov, Veselin","Anand, Viswanathan",2777,2798,2008.09.05,tourn,1-0,E15
8,"Barkhagen, Jonas","Topalov, Veselin",,,1990.??.??,,0-1,A56
9,"Sadler, Matthew D","Topalov, Veselin",,,1998.??.??,,1/2-1/2,A46
10,"Topalov, Veselin","Anand, Viswanathan",2804,2803,2006.06.11,tourn,1/2-1/2,C84
11,"Golod, Vitali","Topalov, Veselin",2568,2690,1999.10.30,team,0-1,A43
12,"Topalov, Veselin","Anand, Viswanathan",2725,2765,1997.??.??,rapid,0-1,B90
13,"Aronian, Levon","Topalov, Veselin",2781,2803,2015.12.11,swiss,1-0,A34
14,"Topalov, Veselin","Sion Castro, Marcelino",,,1993.??.??,,1-0,B40
15,"Kramnik, Vladimir","Topalov, Veselin",2743,2813,2006.09.23,match,1-0,E04
16,"Agdestein, Simen","Topalov, Veselin",2622,2784,2014.09.16,tourn,1-0,D38
17,"Topalov, Veselin","Caruana, Fabiano",2749,2808,2017.06.24,tourn (rapid),0-1,A20
18,"Kolev, Atanas","Topalov, Veselin",2500,2670,1993.??.??,,1/2-1/2,A87
19,"Topalov, Veselin","Sokolov, Ivan",2702,2637,2000.05.29,,1/2-1/2,D36
20,"Ding, Liren","Topalov, Veselin",2797,2747,2018.08.14,match,1-0,E01
21,"Topalov, Veselin","Caruana, Fabiano",2803,2787,2015.12.07,swiss,1/2-1/2,C65
22,"Azmaiparashvili, Zurab","Topalov, Veselin",2693,2735,2003.11.29,,1/2-1/2,D14
23,"Topalov, Veselin","Matnadze, Ana",2740,2362,2018.10.25,tourn (rapid),1-0,B12
24,"Van Wely, Loek","Topalov, Veselin",2647,2801,2006.03.21,rapid,0-1,D32
25,"Kortschnoj, Viktor Lvovich","Topalov, Veselin",2635,2750,1996.08.09,,0-1,B50
26,"Topalov, Veselin","Antunes, Ana",2460,2465,1992.??.??,game,1/2-1/2,B36
27,"Adams, Michael","Topalov, Veselin",2707,2801,2006.01.15,tourn,1-0,B85
28,"Topalov, Veselin","Zhang, Zhong",2733,2657,2001.12.02,k.o.,1-0,B90
29,"Svidler, Peter","Topalov, Veselin",2769,2793,2013.05.07,tourn (blitz),1-0,A55
30,"Anand, Viswanathan","Topalov, Veselin",2753,2743,2003.03.27,rapid,1-0,B33
31,"Zhigalko, Sergei","Topalov, Veselin",,,2015.09.14,k.o.,1/2-1/2,B22
32,"Kaspi, Alexander","Topalov, Veselin",,,1991.??.??,,0-1,E11
33,"So, Wesley","Topalov, Veselin",2771,2761,2016.08.10,tourn,1-0,A29
34,"Topalov, Veselin","Vocaturo, Daniele",2735,2617,2021.07.03,,0-1,
35,"Huebner, Robert","Topalov, Veselin",2630,2640,1995.??.??,tourn,1/2-1/2,A39
36,"Topalov, Veselin","Pomar Salamanca, Arturo",,,1992.??.??,,1-0,D61
37,"Topalov, Veselin","Spasov, Vasil",2635,2520,1993.??.??,,1/2-1/2,B33
38,"Topalov, Veselin","Caruana, Fabiano",2772,2791,2014.06.02,tourn (blitz),1/2-1/2,C00
39,"Lautier, Joel","Topalov, Veselin",2625,2700,1998.10.04,,0-1,E42
40,"Topalov, Veselin","Alonso Cantero, Miguel Angel",2745,,1997.??.??,,1-0,A39
41,"Topalov, Veselin","Morovic Fernandez, Ivan",2640,2605,1994.??.??,,1/2-1/2,C90
42,"Topalov, Veselin","Short, Nigel D",2750,2695,1996.07.23,tourn,1/2-1/2,C87
43,"Topalov, Veselin","Aronian, Levon",2774,2801,2013.11.08,team-swiss,1/2-1/2,A29
44,"Topalov, Veselin","Rajkovic, Dusan",,,1990.??.??,,1-0,B47
45,"Topalov, Veselin","Giri, Anish",,,2016.08.12,,1/2-1/2,A20
46,"Topalov, Veselin","Leko, Peter",2700,2694,1999.03.05,,1/2-1/2,C65
47,"Garcia Palermo, Carlos Horacio","Topalov, Veselin",2505,2300,1988.06.22,,1/2-1/2,A48
48,"Topalov, Veselin","Benjamin, Joel",2650,2620,1993.??.??,,1/2-1/2,B48
49,"Gelfand, Boris","Topalov, Veselin",2703,2739,2002.03.18,rapid,1-0,A04
50,"Kramnik, Vladimir","Topalov, Veselin",2758,2702,2000.03.19,tourn (rapid),0-1,A43
51,"Topalov, Veselin","Ciemniak, Robert",,,1991.??.??,,1-0,B32
52,"Topalov, Veselin","Van Wely, Loek",2770,2692,2012.01.15,,1/2-1/2,E81
53,"Karpov, Anatoly","Topalov, Veselin",2710,2700,1999.03.28,tourn (rapid),1/2-1/2,D19
54,"Garcia Roman, Daniel","Topalov, Veselin",2490,2707,2000.08.11,,1/2-1/2,A46
55,"Topalov, Veselin","Harikrishna, Pentala",2741,2755,2017.04.29,,1/2-1/2,C78
