,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Landa, Konstantin","Vachier Lagrave, Maxime",2550,2458,2004.07.05,swiss,0-1,B42,3
1,"Vachier Lagrave, Maxime","Wang, Hao",2745,2735,2013.12.15,rapid,1/2-1/2,B12,16.2
2,"Vachier Lagrave, Maxime","Claverie, Christophe",2722,2329,2013.03.09,swiss (rapid),1-0,C92,3
3,"Tregubov, Pavel V","Vachier Lagrave, Maxime",2599,2595,2007.07.11,,1-0,D78,5
4,"Vachier Lagrave, Maxime","Sokolov, Andrei",2703,2570,2009.08.17,tourn,1/2-1/2,B48,7
5,"Karjakin, Sergey","Vachier Lagrave, Maxime",2250,2187,2000.10.14,,0-1,B38,4
6,"Ivanchuk, Vassily","Vachier Lagrave, Maxime",2715,2757,2015.01.13,,1-0,B90,4
7,"Vachier Lagrave, Maxime","Carlsen, Magnus",2822,2886,2020.12.11,,1/2-1/2,,1.8
8,"Vachier Lagrave, Maxime","Tabatabaei, Mohammad Amin",2763,2639,2021.10.28,,0-1,,2
9,"Ding, Liren","Vachier Lagrave, Maxime",2791,2758,2021.04.20,,1/2-1/2,,9.4
10,"Vachier Lagrave, Maxime","Paravyan, David",2760,2629,2021.07.20,,1-0,,27.7
11,"Vachier Lagrave, Maxime","Holt, Conrad",2778,2549,2020.09.22,,1-0,A06,6
12,"Aronian, Levon","Vachier Lagrave, Maxime",2758,2774,2019.09.23,,1/2-1/2,D91,5.1
13,"Vachier Lagrave, Maxime","Grischuk, Alexander",2795,2750,2017.10.23,k.o. (blitz),1-0,C65,2.2
14,"Vachier Lagrave, Maxime","Zhigalko, Sergei",2762,2678,2014.06.18,swiss (rapid),1/2-1/2,A11,11
15,"Vachier Lagrave, Maxime","Laznicka, Viktor",2780,2648,2019.12.26,rapid,1-0,B01,4.4
16,"Vachier Lagrave, Maxime","Margenstern, Rodolphe",2348,,2003.01.26,rapid,1-0,B31,3
17,"Vachier Lagrave, Maxime","So, W.",2778,2770,2020.06.06,,1/2-1/2,E32,1.2
18,"Brunner, Nicolas","Vachier Lagrave, Maxime",2428,2778,2020.09.22,,0-1,D31,1
19,"Vachier Lagrave, Maxime","Shengelia, David",2718,2546,2013.05.08,,1/2-1/2,B12,4.5
20,"Nguyen, Ngoc Truong Son","Vachier Lagrave, Maxime",2551,2637,2008.02.22,swiss,1/2-1/2,B92,9
21,"Vachier Lagrave, Maxime","Studer, Noel",2758,2397,2015.10.19,team-swiss,1-0,E06,2.4
22,"Aronian, Levon","Vachier Lagrave, Maxime",2782,2751,2021.08.28,rapid,1-0,,5.4
23,"Sargissian, Gabriel","Vachier Lagrave, Maxime",2612,2576,2006.06.03,team-swiss,1/2-1/2,D80,12
24,"Vachier Lagrave, Maxime","Palac, Mladen",2765,2581,2015.05.02,team-swiss,1/2-1/2,B90,6.1
25,"Wang, Hao","Vachier Lagrave, Maxime",2762,2767,2020.03.23,,1/2-1/2,D87,6.4
26,"Pelletier, Yannick","Vachier Lagrave, Maxime",2590,2722,2011.07.20,swiss,1/2-1/2,E94,3
27,"Alsina Leal, Daniel","Vachier Lagrave, Maxime",2535,2710,2011.12.30,k.o.,0-1,B53,3
28,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2819,2791,2016.08.24,match (blitz),1/2-1/2,B06,27
29,"Vachier Lagrave, Maxime","Giri, Anish",2765,2790,2015.04.24,,1/2-1/2,D38,7
30,"Vachier Lagrave, Maxime","Gelfand, Boris",2796,2719,2017.11.16,swiss,1-0,B35,1
31,"Vachier Lagrave, Maxime","Shankland, Sam",2751,2642,2014.12.03,swiss,1/2-1/2,B11,8.3
32,"Vachier Lagrave, Maxime","Braun, Arik",2780,2598,2019.03.07,team-swiss (rapid),1/2-1/2,B12,9
33,"Vitiugov, Nikita","Vachier Lagrave, Maxime",2709,2778,2019.03.02,team-tourn,1/2-1/2,B90,10.1
34,"Vachier Lagrave, Maxime","Sokolov, Andrei",2527,2603,2005.08.20,swiss,1/2-1/2,B54,6
35,"Vachier Lagrave, Maxime","Mamedyarov, Shakhriyar",2750,2770,2022.05.07,,1/2-1/2,,3
36,"Vachier Lagrave, Maxime","Aronian, Levon",2804,2802,2017.09.20,,1/2-1/2,C84,6.2
37,"Topalov, Veselin","Vachier Lagrave, Maxime",2736,2777,2019.11.08,,0-1,E60,2.1
38,"Tomashevsky, Evgeny","Vachier Lagrave, Maxime",2749,2754,2015.05.26,tourn,1/2-1/2,D80,11
39,"Vachier Lagrave, Maxime","Hakobyan, Aram",2758,2612,2022.04.23,,1-0,A07,5
40,"Caruana, Fabiano","Vachier Lagrave, Maxime",2796,2719,2013.08.25,k.o.,1/2-1/2,D11,5.3
41,"So, Wesley","Vachier Lagrave, Maxime",2770,2778,2020.09.24,,0-1,C65,2.6
42,"Vachier Lagrave, Maxime","Christiansen, Johan Sebastian",2778,2617,2020.09.22,,1-0,A20,4
43,"Gokerkan, Cem Kaan","Vachier Lagrave, Maxime",2444,2766,2021.11.23,,1/2-1/2,C11,6
44,"Pelletier, Yannick","Vachier Lagrave, Maxime",2599,2686,2012.07.25,swiss,1/2-1/2,A33,3
45,"Vachier Lagrave, Maxime","Nakamura, Hikaru",2796,2780,2017.11.20,swiss,1/2-1/2,B52,5
46,"Vachier Lagrave, Maxime","Van Foreest, Jorden",2780,2618,2019.02.16,match (blitz),0-1,C20,5
47,"Hoarau, Adrien","Vachier Lagrave, Maxime",,2186,2000.??.??,tourn,0-1,D58,2
48,"Vachier Lagrave, Maxime","Chan Yi Ren, D.",2778,2316,2020.07.14,,1-0,A05,5
49,"Vachier Lagrave, Maxime","So, W.",2778,2770,2020.06.08,,1/2-1/2,A08,1.7
50,"Guilleux, Fabien","Vachier Lagrave, Maxime",2397,2681,2008.09.04,tourn (rapid),0-1,A16,4
51,"Saada, Julien","Vachier Lagrave, Maxime",2245,2386,2003.08.19,swiss,0-1,A45,3
52,"Vachier Lagrave, Maxime","Karjakin, Sergey",2789,2782,2018.06.12,blitz,1/2-1/2,C53,1
53,"Alekseenko, Kirill","Vachier Lagrave, Maxime",2698,2767,2020.03.22,,1/2-1/2,B80,5
54,"Dominguez Perez, Leinier","Vachier Lagrave, Maxime",2726,2758,2014.12.11,swiss (rapid),1/2-1/2,B90,2
55,"Tanenbaum, Zachary","Vachier Lagrave, Maxime",2148,2758,2022.04.26,,0-1,B13,2
56,"Vachier Lagrave, Maxime","Fargere, Francois",2745,2446,2014.??.??,swiss (blitz),1-0,C11,?
57,"Rapport, Richard","Vachier Lagrave, Maxime",2707,2789,2017.12.29,blitz,1/2-1/2,A45,1.4
58,"Vachier Lagrave, Maxime","Zubov, A Ukr",2778,2589,2020.07.21,,1-0,A05,6
59,"Vachier Lagrave, Maxime","Korobov, Anton",2789,2652,2017.12.29,blitz,1-0,B92,9.4
60,"Vachier Lagrave, Maxime","Shirov, Alexei",2722,2714,2011.07.29,swiss,1/2-1/2,E04,10
61,"Ye, Jiangchuan","Vachier Lagrave, Maxime",2641,2577,2006.09.08,,1/2-1/2,B93,5
62,"Carlsen, Magnus","Vachier Lagrave, Maxime",2886,2822,2020.12.11,,0-1,,1.3
63,"Vachier Lagrave, Maxime","Svidler, Peter",2765,2745,2015.11.20,team-swiss,1/2-1/2,E60,7.1
64,"Vachier Lagrave, Maxime","Budisin, Stanislav",2682,2147,2012.04.28,swiss (rapid),1-0,B40,2
