,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
0,"Wang, Zili","Wang, Hao",2492,2722,2010.05.20,swiss (rapid),1/2-1/2,C12,11
1,"Ni, Hua","Wang, Hao",2667,2715,2010.10.13,team-tourn,1/2-1/2,B51,13
2,"Zhao, Xue","Wang, Hao",2500,2624,2007.08.08,,0-1,D10,7
3,"Kovalenko, Igor","Wang, Hao",2572,2733,2012.04.09,team-swiss,1/2-1/2,A85,1
4,"Wang, Hao","Lutz, Dieter",,2154,2000.10.20,,0-1,B26,9
5,"Wang, Hao","Zhao, Yuanhe",,,????.??.??,,1-0,,4.3
6,"Bocharova, Diana","Wang, Hao",2533,2730,2018.12.26,rapid,0-1,A06,?
7,"Wang, Hao","Zhou, Jianchao",2605,2525,2006.06.26,,0-1,B90,2
8,"Wang, Hao","Demchenko, Anton",2678,2632,2016.12.17,swiss,1/2-1/2,C72,7
9,"Shukuraliev, Algis","Wang, Hao",2376,2727,2010.11.23,team-swiss,0-1,B84,6
10,"Wang, Hao","Aleksandrov, Aleksej",2729,2554,2014.06.17,swiss (rapid),1-0,D38,10
11,"Wang, Hao","Gushuliak, Justin",2070,2153,2000.07.07,swiss,1-0,B66,6
12,"Durarbayli, Vasif","Wang, Hao",2625,2758,2020.01.25,,0-1,C07,5.2
13,"Sargissian, Gabriel","Wang, Hao",2689,2714,2019.01.22,team-swiss (rapid),1/2-1/2,E05,3
14,"Wang, Hao","Vallejo Pons, Francisco",2690,2707,2017.12.04,team-tourn,1/2-1/2,C19,21.2
15,"Wang, Hao","Radjabov, Teimour",2733,2723,2013.10.08,tourn,1/2-1/2,D40,2
16,"Wang, Hao","Safarli, Eltaj",2709,2639,2017.12.28,swiss (rapid),1/2-1/2,B47,11.4
17,"Hammerl, Jonas","Wang, Hao",2601,2733,2011.09.26,,1/2-1/2,E25,2.2
18,"Wang, Hao","Morozevich, Alexander",2737,2748,2012.12.18,blitz,1-0,C00,4.5
19,"Shirov, Alexei","Wang, Hao",2676,2707,2015.12.27,swiss,1/2-1/2,C67,6
20,"Vidit, Santosh Gujrathi","Wang, Hao",2707,2737,2019.07.07,tourn,1-0,,7.3
21,"Wang, Hao","Andriasian, Zaven",2707,2594,2015.12.25,swiss,1-0,D17,3
22,"Wang, Hao","Fakhrutdinov, Timur",2730,2481,2018.12.29,swiss (blitz),1-0,C54,2
23,"Wang, Hao","Kravtsiv, Martyn",2696,2549,2008.10.17,k.o. (rapid),1-0,C84,2.1
24,"Wang, Hao","Hou, Yifan",2734,2653,2016.07.15,tourn,0-1,E05,7
25,"Wang, Hao","Hou, Yifan",2733,2639,2012.04.28,tourn (blitz),1/2-1/2,D38,1.1
26,"Wang, Hao","Radjabov, Teimour",2718,2744,2011.07.17,team-tourn,1/2-1/2,E99,1.1
27,"Wang, Hao","Fedoseev, Vladimir",2729,2662,2014.06.20,rapid,0-1,A20,21
28,"Wang, Hao","Giri, Anish",2763,2764,2020.12.03,,0-1,A29,2.1
29,"Wang, Yaoyao","Wang, Hao",2456,2484,2005.04.23,,0-1,D11,4
30,"Wang, Yue","Wang, Hao",2644,2622,2006.10.16,swiss,1/2-1/2,D12,13
31,"Wang, Hao","Mollah Abdullah, Al Rakib",2768,2432,2017.05.21,blitz,0-1,,1.1
32,"Kramnik, Vladimir","Wang, Hao",2784,2731,2011.01.17,tourn,1/2-1/2,E25,3
33,"Wang, Hao","Malysheva, Polina",2433,2364,2004.08.14,,1-0,D27,4
34,"Fang, Yuxiang","Wang, Hao",2499,2710,2018.06.22,team-swiss,1/2-1/2,B14,6.5
35,"Liu, Zexu","Wang, Hao",2121,2737,2019.06.21,,0-1,,3.1
36,"Chulivska, Vita","Wang, Hao",2208,2619,2007.03.02,,0-1,C07,7
37,"Delorme, Axel","Wang, Hao",2482,2733,2013.10.23,team-swiss,1/2-1/2,D94,4.5
38,"Li, Chao b","Wang, Hao",2748,2705,2015.08.31,team-swiss,1/2-1/2,A22,6.6
39,"Yu, Yangyi","Wang, Hao",2433,2696,2009.04.26,tourn,1/2-1/2,B81,9
40,"Wang, Hao","Mamedyarov, Shakhriyar",2710,2765,2014.12.13,tourn (blitz),1-0,A50,9
41,"Heberla, Bartlomiej","Wang, Hao",2559,2711,2018.01.13,,1/2-1/2,C55,5.2
42,"Wang, Hao","Teplitsky, Yan",2211,2522,2002.03.31,swiss,1/2-1/2,B56,5
43,"Wang, Hao","Zeng, Chongsheng",2690,2536,2017.07.27,team-tourn,1-0,B85,9.2
44,"Wang, Hao","Ganguly, Surya Shekhar",2619,2571,2007.02.18,swiss,1-0,C06,5
45,"Dominguez Perez, Leinier","Wang, Hao",2763,2726,2019.09.16,,1/2-1/2,C65,3.1
46,"Movsesian, Sergei","Wang, Hao",2747,2696,2009.05.11,tourn,1-0,A04,4
47,"Gelfand, Boris","Wang, Hao",2737,2701,2017.09.07,k.o.,1/2-1/2,E06,2.2
48,"Wang, Hao","Kazhgaleyev, Murtas",2732,2570,2016.06.19,,0-1,E56,15
49,"Wang, Hao","Inarkiev, Ernesto",2737,2693,2019.07.06,,1/2-1/2,A00,6.3
50,"Morozevich, Alexander","Wang, Hao",2736,2752,2013.07.12,tourn,1/2-1/2,B52,8
51,"Wang, Hao","Harikrishna, Pentala",2704,2733,2015.06.28,tourn,1/2-1/2,A29,9.2
52,"Wang, Hao","Jina, Jiri",2226,2394,2003.06.23,,1/2-1/2,C61,3
53,"Wang, Hao","Grischuk, Arina",2735,2783,2013.12.16,rapid,1-0,E63,22.3
54,"Wang, Hao","Le, Quang Liem",2683,2712,2017.03.14,swiss,1/2-1/2,A13,5.1
55,"Wang, Hao","Zhang, Pengxiang",2624,2649,2007.09.23,swiss,1/2-1/2,C06,5
56,"Wen, Yang","Wang, Hao",2583,2710,2015.05.27,tourn,1/2-1/2,A32,9
57,"Wang, Hao","Zhang, Zhong",2696,2649,2008.10.07,k.o. (rapid),1-0,D38,8
58,"Harikrishnan, M.","Wang, Hao",2687,2770,2017.12.10,rapid,0-1,,1.6
59,"Wang, Hao","Jere, Daniel",2726,2382,2012.08.28,team-swiss,1-0,E84,1.1
60,"Iljushin, Alexei","Wang, Hao",2530,2457,2005.02.20,,0-1,E59,6
61,"Kamsky, Gata","Wang, Hao",2732,2736,2011.12.15,,0-1,A85,5
62,"Wang, Yue","Wang, Hao",2718,2717,2016.03.03,swiss (rapid),1-0,D06,4.14
63,"Wang, Hao","Diermair, Andreas",2696,2365,2008.10.13,k.o. (blitz),1-0,C95,11
64,"Andreikin, Dmitry","Wang, Hao",2719,2730,2018.12.27,swiss (rapid),0-1,E14,9
65,"Wang, Hao","Yu, Yangyi",2700,2734,2015.11.20,rapid,1-0,A04,1.3
66,"Wang, Hao","Bu, Xiangzhi",2696,2714,2008.10.04,blitz,0-1,D17,6
67,"Ivanchuk, Vassily","Wang, Hao",2731,2735,2013.12.12,swiss (rapid),1/2-1/2,C42,3
68,"Wang, Hao","Erdogdu, Mert",2696,2449,2008.10.13,k.o. (blitz),1-0,B84,7
69,"Wang, Hao","Navara, David",2756,2707,2019.12.12,,1/2-1/2,C65,1.2
70,"Aravindh, Chithambaram","Wang, Hao",2475,2768,2017.05.21,blitz,1-0,,9.2
71,"Yu, Yangyi","Wang, Hao",2751,2709,2017.12.30,blitz,1/2-1/2,E21,21.3
72,"Zhu, Yi","Wang, Hao",2318,2732,2016.04.12,team-tourn,0-1,D43,1.3
73,"Wang, Hao","Howell Rajko Vujatovi, David",2215,2381,2003.10.26,,1-0,B30,4
